any;municipi;concepte;estat;valor
2015;Aiguamúrcia;població amb estudis baixos;..;null
2015;Aiguamúrcia;població jove sense estudis postobligatoris;..;null
2015;Aiguamúrcia;estrangers de països de renda baixa o mitjana;;91,8
2015;Aiguamúrcia;renda mitjana per persona;;90,2
2015;Aiguaviva;població ocupada;;127,5
2015;Aiguaviva;treballadors de baixa qualificació;..;null
2015;Aiguaviva;població amb estudis baixos;..;null
2015;Aiguaviva;població jove sense estudis postobligatoris;..;null
2015;Aiguaviva;estrangers de països de renda baixa o mitjana;;84,9
2015;Aiguaviva;renda mitjana per persona;;111,8
2015;Aitona;població ocupada;;112,7
2015;Aitona;treballadors de baixa qualificació;;140,3
2015;Aitona;població amb estudis baixos;..;null
2015;Aitona;població jove sense estudis postobligatoris;..;null
2015;Aitona;estrangers de països de renda baixa o mitjana;;133,0
2015;Aitona;renda mitjana per persona;;85,0
2015;Alamús, els;població ocupada;;121,2
2015;Alamús, els;treballadors de baixa qualificació;..;null
2015;Alamús, els;població amb estudis baixos;..;null
2015;Alamús, els;població jove sense estudis postobligatoris;..;null
2015;Alamús, els;estrangers de països de renda baixa o mitjana;;102,8
2015;Alamús, els;renda mitjana per persona;;95,2
2015;Alàs i Cerc;població ocupada;;80,4
2015;Alàs i Cerc;treballadors de baixa qualificació;..;null
2015;Alàs i Cerc;població amb estudis baixos;..;null
2015;Alàs i Cerc;població jove sense estudis postobligatoris;..;null
2015;Alàs i Cerc;estrangers de països de renda baixa o mitjana;;86,6
2015;Alàs i Cerc;renda mitjana per persona;;93,4
2015;Albagés, l';població ocupada;;111,5
2015;Albagés, l';treballadors de baixa qualificació;..;null
2015;Albagés, l';població amb estudis baixos;..;null
2015;Albagés, l';població jove sense estudis postobligatoris;..;null
2015;Albagés, l';estrangers de països de renda baixa o mitjana;;85,0
2015;Albagés, l';renda mitjana per persona;;83,8
2015;Albanyà;població ocupada;;70,9
2015;Albanyà;treballadors de baixa qualificació;..;null
2015;Albanyà;població amb estudis baixos;..;null
2015;Albanyà;població jove sense estudis postobligatoris;..;null
2015;Albanyà;estrangers de països de renda baixa o mitjana;;84,6
2015;Albanyà;renda mitjana per persona;;84,0
2015;Albatàrrec;població ocupada;;97,6
2015;Albatàrrec;treballadors de baixa qualificació;;118,3
2015;Albatàrrec;població amb estudis baixos;..;null
2015;Albatàrrec;població jove sense estudis postobligatoris;..;null
2015;Albatàrrec;estrangers de països de renda baixa o mitjana;;114,4
2015;Albatàrrec;renda mitjana per persona;;89,1
2015;Albesa;població ocupada;;120,9
2015;Albesa;treballadors de baixa qualificació;;118,0
2015;Albesa;població amb estudis baixos;..;null
2015;Albesa;població jove sense estudis postobligatoris;..;null
2015;Albesa;estrangers de països de renda baixa o mitjana;;107,8
2015;Albesa;renda mitjana per persona;;90,5
2015;Albi, l';població ocupada;;101,0
2015;Albi, l';treballadors de baixa qualificació;..;null
2015;Albi, l';població amb estudis baixos;..;null
2015;Albi, l';població jove sense estudis postobligatoris;..;null
2015;Albi, l';estrangers de països de renda baixa o mitjana;;93,0
2015;Albi, l';renda mitjana per persona;;90,7
2015;Albinyana;població ocupada;;84,2
2015;Albinyana;treballadors de baixa qualificació;;107,9
2015;Albinyana;població amb estudis baixos;..;null
2015;Albinyana;població jove sense estudis postobligatoris;..;null
2015;Albinyana;estrangers de països de renda baixa o mitjana;;85,5
2015;Albinyana;renda mitjana per persona;;87,1
2015;Albiol, l';població ocupada;;112,2
2015;Albiol, l';treballadors de baixa qualificació;..;null
2015;Albiol, l';població amb estudis baixos;..;null
2015;Albiol, l';població jove sense estudis postobligatoris;..;null
2015;Albiol, l';estrangers de països de renda baixa o mitjana;;88,2
2015;Albiol, l';renda mitjana per persona;;102,9
2015;Albons;població ocupada;;106,3
2015;Albons;treballadors de baixa qualificació;..;null
2015;Albons;població amb estudis baixos;..;null
2015;Albons;població jove sense estudis postobligatoris;..;null
2015;Albons;estrangers de països de renda baixa o mitjana;;93,8
2015;Albons;renda mitjana per persona;;94,0
2015;Alcanar;població ocupada;;76,2
2015;Alcanar;treballadors de baixa qualificació;;136,4
2015;Alcanar;població amb estudis baixos;..;null
2015;Alcanar;població jove sense estudis postobligatoris;..;null
2015;Alcanar;estrangers de països de renda baixa o mitjana;;114,5
2015;Alcanar;renda mitjana per persona;;81,8
2015;Alcanó;població ocupada;;128,8
2015;Alcanó;treballadors de baixa qualificació;..;null
2015;Alcanó;població amb estudis baixos;..;null
2015;Alcanó;població jove sense estudis postobligatoris;..;null
2015;Alcanó;estrangers de països de renda baixa o mitjana;;81,7
2015;Alcanó;renda mitjana per persona;;87,7
2015;Alcarràs;població ocupada;;106,3
2015;Alcarràs;treballadors de baixa qualificació;;125,7
2015;Alcarràs;població amb estudis baixos;..;null
2015;Alcarràs;població jove sense estudis postobligatoris;..;null
2015;Alcarràs;estrangers de països de renda baixa o mitjana;;135,4
2015;Alcarràs;renda mitjana per persona;;87,3
2015;Alcoletge;població ocupada;;110,5
2015;Alcoletge;treballadors de baixa qualificació;;101,4
2015;Alcoletge;població amb estudis baixos;..;null
2015;Alcoletge;població jove sense estudis postobligatoris;..;null
2015;Alcoletge;estrangers de països de renda baixa o mitjana;;103,5
2015;Alcoletge;renda mitjana per persona;;91,3
2015;Alcover;població ocupada;;109,0
2015;Alcover;treballadors de baixa qualificació;;104,6
2015;Alcover;població amb estudis baixos;..;null
2015;Alcover;població jove sense estudis postobligatoris;..;null
2015;Alcover;estrangers de països de renda baixa o mitjana;;100,5
2015;Alcover;renda mitjana per persona;;94,8
2015;Aldea, l';població ocupada;;94,3
2015;Aldea, l';treballadors de baixa qualificació;;126,0
2015;Aldea, l';població amb estudis baixos;..;null
2015;Aldea, l';població jove sense estudis postobligatoris;..;null
2015;Aldea, l';estrangers de països de renda baixa o mitjana;;114,9
2015;Aldea, l';renda mitjana per persona;;81,7
2015;Aldover;població ocupada;;89,3
2015;Aldover;treballadors de baixa qualificació;..;null
2015;Aldover;població amb estudis baixos;..;null
2015;Aldover;població jove sense estudis postobligatoris;..;null
2015;Aldover;estrangers de països de renda baixa o mitjana;;94,8
2015;Aldover;renda mitjana per persona;;87,5
2015;Aleixar, l';població ocupada;;111,2
2015;Aleixar, l';treballadors de baixa qualificació;..;null
2015;Aleixar, l';població amb estudis baixos;..;null
2015;Aleixar, l';població jove sense estudis postobligatoris;..;null
2015;Aleixar, l';estrangers de països de renda baixa o mitjana;;96,3
2015;Aleixar, l';renda mitjana per persona;;90,6
2015;Alella;població ocupada;;106,0
2015;Alella;treballadors de baixa qualificació;;81,5
2015;Alella;població amb estudis baixos;..;null
2015;Alella;població jove sense estudis postobligatoris;..;null
2015;Alella;estrangers de països de renda baixa o mitjana;;87,2
2015;Alella;renda mitjana per persona;;129,2
2015;Alfara de Carles;població ocupada;;96,1
2015;Alfara de Carles;treballadors de baixa qualificació;..;null
2015;Alfara de Carles;població amb estudis baixos;..;null
2015;Alfara de Carles;població jove sense estudis postobligatoris;..;null
2015;Alfara de Carles;estrangers de països de renda baixa o mitjana;;88,3
2015;Alfara de Carles;renda mitjana per persona;;86,7
2015;Alfarràs;població ocupada;;77,9
2015;Alfarràs;treballadors de baixa qualificació;;122,1
2015;Alfarràs;població amb estudis baixos;..;null
2015;Alfarràs;població jove sense estudis postobligatoris;..;null
2015;Alfarràs;estrangers de països de renda baixa o mitjana;;100,0
2015;Alfarràs;renda mitjana per persona;;84,3
2015;Alfés;població ocupada;;114,3
2015;Alfés;treballadors de baixa qualificació;..;null
2015;Alfés;població amb estudis baixos;..;null
2015;Alfés;població jove sense estudis postobligatoris;..;null
2015;Alfés;estrangers de països de renda baixa o mitjana;;99,0
2015;Alfés;renda mitjana per persona;;93,0
2015;Alforja;població ocupada;;92,4
2015;Alforja;treballadors de baixa qualificació;;99,3
2015;Alforja;població amb estudis baixos;..;null
2015;Alforja;població jove sense estudis postobligatoris;..;null
2015;Alforja;estrangers de països de renda baixa o mitjana;;92,6
2015;Alforja;renda mitjana per persona;;91,9
2015;Algerri;població ocupada;;112,3
2015;Algerri;treballadors de baixa qualificació;..;null
2015;Algerri;població amb estudis baixos;..;null
2015;Algerri;població jove sense estudis postobligatoris;..;null
2015;Algerri;estrangers de països de renda baixa o mitjana;;90,7
2015;Algerri;renda mitjana per persona;;96,3
2015;Alguaire;població ocupada;;107,6
2015;Alguaire;treballadors de baixa qualificació;;111,7
2015;Alguaire;població amb estudis baixos;..;null
2015;Alguaire;població jove sense estudis postobligatoris;..;null
2015;Alguaire;estrangers de països de renda baixa o mitjana;;108,5
2015;Alguaire;renda mitjana per persona;;93,3
2015;Alins;població ocupada;;113,5
2015;Alins;treballadors de baixa qualificació;..;null
2015;Alins;població amb estudis baixos;..;null
2015;Alins;població jove sense estudis postobligatoris;..;null
2015;Alins;estrangers de països de renda baixa o mitjana;;87,6
2015;Alins;renda mitjana per persona;;98,5
2015;Alió;població ocupada;;105,5
2015;Alió;treballadors de baixa qualificació;..;null
2015;Alió;població amb estudis baixos;..;null
2015;Alió;població jove sense estudis postobligatoris;..;null
2015;Alió;estrangers de països de renda baixa o mitjana;;97,0
2015;Alió;renda mitjana per persona;;94,7
2015;Almacelles;població ocupada;;89,8
2015;Almacelles;treballadors de baixa qualificació;;128,0
2015;Almacelles;població amb estudis baixos;..;null
2015;Almacelles;població jove sense estudis postobligatoris;..;null
2015;Almacelles;estrangers de països de renda baixa o mitjana;;112,8
2015;Almacelles;renda mitjana per persona;;91,0
2015;Almatret;població ocupada;;95,4
2015;Almatret;treballadors de baixa qualificació;..;null
2015;Almatret;població amb estudis baixos;..;null
2015;Almatret;població jove sense estudis postobligatoris;..;null
2015;Almatret;estrangers de països de renda baixa o mitjana;;83,5
2015;Almatret;renda mitjana per persona;;99,7
2015;Almenar;població ocupada;;96,0
2015;Almenar;treballadors de baixa qualificació;;119,9
2015;Almenar;població amb estudis baixos;..;null
2015;Almenar;població jove sense estudis postobligatoris;..;null
2015;Almenar;estrangers de països de renda baixa o mitjana;;99,9
2015;Almenar;renda mitjana per persona;;90,4
2015;Almoster;població ocupada;;118,7
2015;Almoster;treballadors de baixa qualificació;;85,3
2015;Almoster;població amb estudis baixos;..;null
2015;Almoster;població jove sense estudis postobligatoris;..;null
2015;Almoster;estrangers de països de renda baixa o mitjana;;82,1
2015;Almoster;renda mitjana per persona;;112,1
2015;Alòs de Balaguer;població ocupada;;118,7
2015;Alòs de Balaguer;treballadors de baixa qualificació;..;null
2015;Alòs de Balaguer;població amb estudis baixos;..;null
2015;Alòs de Balaguer;població jove sense estudis postobligatoris;..;null
2015;Alòs de Balaguer;estrangers de països de renda baixa o mitjana;;92,3
2015;Alòs de Balaguer;renda mitjana per persona;;103,9
2015;Alp;població ocupada;;108,7
2015;Alp;treballadors de baixa qualificació;;97,2
2015;Alp;població amb estudis baixos;..;null
2015;Alp;població jove sense estudis postobligatoris;..;null
2015;Alp;estrangers de països de renda baixa o mitjana;;100,1
2015;Alp;renda mitjana per persona;;105,3
2015;Alpens;població ocupada;;100,6
2015;Alpens;treballadors de baixa qualificació;..;null
2015;Alpens;població amb estudis baixos;..;null
2015;Alpens;població jove sense estudis postobligatoris;..;null
2015;Alpens;estrangers de països de renda baixa o mitjana;;93,8
2015;Alpens;renda mitjana per persona;;103,7
2015;Alpicat;població ocupada;;114,9
2015;Alpicat;treballadors de baixa qualificació;;88,3
2015;Alpicat;població amb estudis baixos;..;null
2015;Alpicat;població jove sense estudis postobligatoris;..;null
2015;Alpicat;estrangers de països de renda baixa o mitjana;;91,8
2015;Alpicat;renda mitjana per persona;;106,5
2015;Alt Àneu;població ocupada;;116,9
2015;Alt Àneu;treballadors de baixa qualificació;..;null
2015;Alt Àneu;població amb estudis baixos;..;null
2015;Alt Àneu;població jove sense estudis postobligatoris;..;null
2015;Alt Àneu;estrangers de països de renda baixa o mitjana;;81,2
2015;Alt Àneu;renda mitjana per persona;;107,7
2015;Altafulla;població ocupada;;97,4
2015;Altafulla;treballadors de baixa qualificació;;84,7
2015;Altafulla;població amb estudis baixos;..;null
2015;Altafulla;població jove sense estudis postobligatoris;..;null
2015;Altafulla;estrangers de països de renda baixa o mitjana;;93,3
2015;Altafulla;renda mitjana per persona;;108,3
2015;Amer;població ocupada;;110,6
2015;Amer;treballadors de baixa qualificació;;98,2
2015;Amer;població amb estudis baixos;..;null
2015;Amer;població jove sense estudis postobligatoris;..;null
2015;Amer;estrangers de països de renda baixa o mitjana;;94,9
2015;Amer;renda mitjana per persona;;102,4
2015;Ametlla de Mar, l';població ocupada;;72,7
2015;Ametlla de Mar, l';treballadors de baixa qualificació;;107,2
2015;Ametlla de Mar, l';població amb estudis baixos;..;null
2015;Ametlla de Mar, l';població jove sense estudis postobligatoris;..;null
2015;Ametlla de Mar, l';estrangers de països de renda baixa o mitjana;;105,4
2015;Ametlla de Mar, l';renda mitjana per persona;;87,6
2015;Ametlla del Vallès, l';població ocupada;;114,5
2015;Ametlla del Vallès, l';treballadors de baixa qualificació;;87,1
2015;Ametlla del Vallès, l';població amb estudis baixos;..;null
2015;Ametlla del Vallès, l';població jove sense estudis postobligatoris;..;null
2015;Ametlla del Vallès, l';estrangers de països de renda baixa o mitjana;;83,5
2015;Ametlla del Vallès, l';renda mitjana per persona;;118,5
2015;Ampolla, l';població ocupada;;74,4
2015;Ampolla, l';treballadors de baixa qualificació;;99,4
2015;Ampolla, l';població amb estudis baixos;..;null
2015;Ampolla, l';població jove sense estudis postobligatoris;..;null
2015;Ampolla, l';estrangers de països de renda baixa o mitjana;;111,3
2015;Ampolla, l';renda mitjana per persona;;90,6
2015;Amposta;població ocupada;;83,1
2015;Amposta;treballadors de baixa qualificació;;107,3
2015;Amposta;població amb estudis baixos;..;null
2015;Amposta;població jove sense estudis postobligatoris;..;null
2015;Amposta;estrangers de països de renda baixa o mitjana;;108,9
2015;Amposta;renda mitjana per persona;;85,2
2015;Anglès;població ocupada;;104,5
2015;Anglès;treballadors de baixa qualificació;;110,6
2015;Anglès;població amb estudis baixos;..;null
2015;Anglès;població jove sense estudis postobligatoris;..;null
2015;Anglès;estrangers de països de renda baixa o mitjana;;114,0
2015;Anglès;renda mitjana per persona;;91,9
2015;Anglesola;població ocupada;;103,4
2015;Anglesola;treballadors de baixa qualificació;;118,2
2015;Anglesola;població amb estudis baixos;..;null
2015;Anglesola;població jove sense estudis postobligatoris;..;null
2015;Anglesola;estrangers de països de renda baixa o mitjana;;100,9
2015;Anglesola;renda mitjana per persona;;91,8
2015;Arbeca;població ocupada;;101,7
2015;Arbeca;treballadors de baixa qualificació;;125,9
2015;Arbeca;població amb estudis baixos;..;null
2015;Arbeca;població jove sense estudis postobligatoris;..;null
2015;Arbeca;estrangers de països de renda baixa o mitjana;;108,9
2015;Arbeca;renda mitjana per persona;;88,5
2015;Arboç, l';població ocupada;;90,6
2015;Arboç, l';treballadors de baixa qualificació;;117,0
2015;Arboç, l';població amb estudis baixos;..;null
2015;Arboç, l';població jove sense estudis postobligatoris;..;null
2015;Arboç, l';estrangers de països de renda baixa o mitjana;;123,9
2015;Arboç, l';renda mitjana per persona;;86,9
2015;Arbolí;població ocupada;;108,0
2015;Arbolí;treballadors de baixa qualificació;..;null
2015;Arbolí;població amb estudis baixos;..;null
2015;Arbolí;població jove sense estudis postobligatoris;..;null
2015;Arbolí;estrangers de països de renda baixa o mitjana;;79,2
2015;Arbolí;renda mitjana per persona;;118,8
2015;Arbúcies;població ocupada;;102,5
2015;Arbúcies;treballadors de baixa qualificació;;114,5
2015;Arbúcies;població amb estudis baixos;..;null
2015;Arbúcies;població jove sense estudis postobligatoris;..;null
2015;Arbúcies;estrangers de països de renda baixa o mitjana;;119,6
2015;Arbúcies;renda mitjana per persona;;89,8
2015;Arenys de Mar;població ocupada;;96,8
2015;Arenys de Mar;treballadors de baixa qualificació;;91,8
2015;Arenys de Mar;població amb estudis baixos;..;null
2015;Arenys de Mar;població jove sense estudis postobligatoris;..;null
2015;Arenys de Mar;estrangers de països de renda baixa o mitjana;;94,0
2015;Arenys de Mar;renda mitjana per persona;;98,8
2015;Arenys de Munt;població ocupada;;105,9
2015;Arenys de Munt;treballadors de baixa qualificació;;92,8
2015;Arenys de Munt;població amb estudis baixos;..;null
2015;Arenys de Munt;població jove sense estudis postobligatoris;..;null
2015;Arenys de Munt;estrangers de països de renda baixa o mitjana;;87,9
2015;Arenys de Munt;renda mitjana per persona;;97,1
2015;Argelaguer;població ocupada;;109,6
2015;Argelaguer;treballadors de baixa qualificació;..;null
2015;Argelaguer;població amb estudis baixos;..;null
2015;Argelaguer;població jove sense estudis postobligatoris;..;null
2015;Argelaguer;estrangers de països de renda baixa o mitjana;;84,6
2015;Argelaguer;renda mitjana per persona;;98,4
2015;Argençola;població ocupada;;106,9
2015;Argençola;treballadors de baixa qualificació;..;null
2015;Argençola;població amb estudis baixos;..;null
2015;Argençola;població jove sense estudis postobligatoris;..;null
2015;Argençola;estrangers de països de renda baixa o mitjana;;84,6
2015;Argençola;renda mitjana per persona;;96,2
2015;Argentera, l';població ocupada;;102,8
2015;Argentera, l';treballadors de baixa qualificació;..;null
2015;Argentera, l';població amb estudis baixos;..;null
2015;Argentera, l';població jove sense estudis postobligatoris;..;null
2015;Argentera, l';estrangers de països de renda baixa o mitjana;;81,9
2015;Argentera, l';renda mitjana per persona;;117,5
2015;Argentona;població ocupada;;110,3
2015;Argentona;treballadors de baixa qualificació;;89,8
2015;Argentona;població amb estudis baixos;..;null
2015;Argentona;població jove sense estudis postobligatoris;..;null
2015;Argentona;estrangers de països de renda baixa o mitjana;;85,0
2015;Argentona;renda mitjana per persona;;102,1
2015;Armentera, l';població ocupada;;118,3
2015;Armentera, l';treballadors de baixa qualificació;..;null
2015;Armentera, l';població amb estudis baixos;..;null
2015;Armentera, l';població jove sense estudis postobligatoris;..;null
2015;Armentera, l';estrangers de països de renda baixa o mitjana;;101,9
2015;Armentera, l';renda mitjana per persona;;100,1
2015;Arnes;població ocupada;;100,4
2015;Arnes;treballadors de baixa qualificació;..;null
2015;Arnes;població amb estudis baixos;..;null
2015;Arnes;població jove sense estudis postobligatoris;..;null
2015;Arnes;estrangers de països de renda baixa o mitjana;;80,9
2015;Arnes;renda mitjana per persona;;84,8
2015;Arres;població ocupada;;84,5
2015;Arres;treballadors de baixa qualificació;..;null
2015;Arres;població amb estudis baixos;..;null
2015;Arres;població jove sense estudis postobligatoris;..;null
2015;Arres;estrangers de països de renda baixa o mitjana;;88,2
2015;Arres;renda mitjana per persona;;104,9
2015;Arsèguel;població ocupada;;110,3
2015;Arsèguel;treballadors de baixa qualificació;..;null
2015;Arsèguel;població amb estudis baixos;..;null
2015;Arsèguel;població jove sense estudis postobligatoris;..;null
2015;Arsèguel;estrangers de països de renda baixa o mitjana;;81,8
2015;Arsèguel;renda mitjana per persona;;104,9
2015;Artés;població ocupada;;111,0
2015;Artés;treballadors de baixa qualificació;;110,2
2015;Artés;població amb estudis baixos;..;null
2015;Artés;població jove sense estudis postobligatoris;..;null
2015;Artés;estrangers de països de renda baixa o mitjana;;96,6
2015;Artés;renda mitjana per persona;;98,2
2015;Artesa de Lleida;població ocupada;;106,4
2015;Artesa de Lleida;treballadors de baixa qualificació;;108,9
2015;Artesa de Lleida;població amb estudis baixos;..;null
2015;Artesa de Lleida;població jove sense estudis postobligatoris;..;null
2015;Artesa de Lleida;estrangers de països de renda baixa o mitjana;;97,8
2015;Artesa de Lleida;renda mitjana per persona;;90,7
2015;Artesa de Segre;població ocupada;;109,3
2015;Artesa de Segre;treballadors de baixa qualificació;;136,9
2015;Artesa de Segre;població amb estudis baixos;..;null
2015;Artesa de Segre;població jove sense estudis postobligatoris;..;null
2015;Artesa de Segre;estrangers de països de renda baixa o mitjana;;120,1
2015;Artesa de Segre;renda mitjana per persona;;87,4
2015;Ascó;població ocupada;;105,7
2015;Ascó;treballadors de baixa qualificació;;103,4
2015;Ascó;població amb estudis baixos;..;null
2015;Ascó;població jove sense estudis postobligatoris;..;null
2015;Ascó;estrangers de països de renda baixa o mitjana;;92,5
2015;Ascó;renda mitjana per persona;;111,3
2015;Aspa;població ocupada;;106,6
2015;Aspa;treballadors de baixa qualificació;..;null
2015;Aspa;població amb estudis baixos;..;null
2015;Aspa;població jove sense estudis postobligatoris;..;null
2015;Aspa;estrangers de països de renda baixa o mitjana;;88,5
2015;Aspa;renda mitjana per persona;;91,0
2015;Avellanes i Santa Linya, les;població ocupada;;118,0
2015;Avellanes i Santa Linya, les;treballadors de baixa qualificació;..;null
2015;Avellanes i Santa Linya, les;població amb estudis baixos;..;null
2015;Avellanes i Santa Linya, les;població jove sense estudis postobligatoris;..;null
2015;Avellanes i Santa Linya, les;estrangers de països de renda baixa o mitjana;;91,6
2015;Avellanes i Santa Linya, les;renda mitjana per persona;;93,6
2015;Avià;població ocupada;;123,3
2015;Avià;treballadors de baixa qualificació;;97,2
2015;Avià;població amb estudis baixos;..;null
2015;Avià;població jove sense estudis postobligatoris;..;null
2015;Avià;estrangers de països de renda baixa o mitjana;;86,5
2015;Avià;renda mitjana per persona;;98,5
2015;Avinyó;població ocupada;;122,1
2015;Avinyó;treballadors de baixa qualificació;;113,6
2015;Avinyó;població amb estudis baixos;..;null
2015;Avinyó;població jove sense estudis postobligatoris;..;null
2015;Avinyó;estrangers de països de renda baixa o mitjana;;92,2
2015;Avinyó;renda mitjana per persona;;98,8
2015;Avinyonet de Puigventós;població ocupada;;121,0
2015;Avinyonet de Puigventós;treballadors de baixa qualificació;;97,1
2015;Avinyonet de Puigventós;població amb estudis baixos;..;null
2015;Avinyonet de Puigventós;població jove sense estudis postobligatoris;..;null
2015;Avinyonet de Puigventós;estrangers de països de renda baixa o mitjana;;83,8
2015;Avinyonet de Puigventós;renda mitjana per persona;;96,8
2015;Avinyonet del Penedès;població ocupada;;114,1
2015;Avinyonet del Penedès;treballadors de baixa qualificació;;97,7
2015;Avinyonet del Penedès;població amb estudis baixos;..;null
2015;Avinyonet del Penedès;població jove sense estudis postobligatoris;..;null
2015;Avinyonet del Penedès;estrangers de països de renda baixa o mitjana;;92,0
2015;Avinyonet del Penedès;renda mitjana per persona;;98,4
2015;Badalona;població ocupada;;95,6
2015;Badalona;treballadors de baixa qualificació;;103,7
2015;Badalona;població amb estudis baixos;..;null
2015;Badalona;població jove sense estudis postobligatoris;..;null
2015;Badalona;estrangers de països de renda baixa o mitjana;;102,0
2015;Badalona;renda mitjana per persona;;92,8
2015;Badia del Vallès;població ocupada;;80,6
2015;Badia del Vallès;treballadors de baixa qualificació;;120,2
2015;Badia del Vallès;població amb estudis baixos;..;null
2015;Badia del Vallès;població jove sense estudis postobligatoris;..;null
2015;Badia del Vallès;estrangers de països de renda baixa o mitjana;;89,4
2015;Badia del Vallès;renda mitjana per persona;;84,8
2015;Bagà;població ocupada;;95,0
2015;Bagà;treballadors de baixa qualificació;;97,7
2015;Bagà;població amb estudis baixos;..;null
2015;Bagà;població jove sense estudis postobligatoris;..;null
2015;Bagà;estrangers de països de renda baixa o mitjana;;83,3
2015;Bagà;renda mitjana per persona;;106,3
2015;Baix Pallars;població ocupada;;101,0
2015;Baix Pallars;treballadors de baixa qualificació;..;null
2015;Baix Pallars;població amb estudis baixos;..;null
2015;Baix Pallars;població jove sense estudis postobligatoris;..;null
2015;Baix Pallars;estrangers de països de renda baixa o mitjana;;83,8
2015;Baix Pallars;renda mitjana per persona;;107,8
2015;Balaguer;població ocupada;;89,2
2015;Balaguer;treballadors de baixa qualificació;;114,4
2015;Balaguer;població amb estudis baixos;..;null
2015;Balaguer;població jove sense estudis postobligatoris;..;null
2015;Balaguer;estrangers de països de renda baixa o mitjana;;120,5
2015;Balaguer;renda mitjana per persona;;85,8
2015;Balenyà;població ocupada;;111,1
2015;Balenyà;treballadors de baixa qualificació;;111,0
2015;Balenyà;població amb estudis baixos;..;null
2015;Balenyà;població jove sense estudis postobligatoris;..;null
2015;Balenyà;estrangers de països de renda baixa o mitjana;;92,3
2015;Balenyà;renda mitjana per persona;;92,8
2015;Balsareny;població ocupada;;99,7
2015;Balsareny;treballadors de baixa qualificació;;98,5
2015;Balsareny;població amb estudis baixos;..;null
2015;Balsareny;població jove sense estudis postobligatoris;..;null
2015;Balsareny;estrangers de països de renda baixa o mitjana;;91,0
2015;Balsareny;renda mitjana per persona;;99,2
2015;Banyeres del Penedès;població ocupada;;99,9
2015;Banyeres del Penedès;treballadors de baixa qualificació;;101,3
2015;Banyeres del Penedès;població amb estudis baixos;..;null
2015;Banyeres del Penedès;població jove sense estudis postobligatoris;..;null
2015;Banyeres del Penedès;estrangers de països de renda baixa o mitjana;;94,5
2015;Banyeres del Penedès;renda mitjana per persona;;93,4
2015;Banyoles;població ocupada;;111,7
2015;Banyoles;treballadors de baixa qualificació;;107,3
2015;Banyoles;població amb estudis baixos;..;null
2015;Banyoles;població jove sense estudis postobligatoris;..;null
2015;Banyoles;estrangers de països de renda baixa o mitjana;;115,8
2015;Banyoles;renda mitjana per persona;;97,5
2015;Barbens;població ocupada;;101,4
2015;Barbens;treballadors de baixa qualificació;..;null
2015;Barbens;població amb estudis baixos;..;null
2015;Barbens;població jove sense estudis postobligatoris;..;null
2015;Barbens;estrangers de països de renda baixa o mitjana;;125,0
2015;Barbens;renda mitjana per persona;;85,7
2015;Barberà de la Conca;població ocupada;;94,4
2015;Barberà de la Conca;treballadors de baixa qualificació;..;null
