mes,comarques i Aran,concepte,sexe,estat,valor
12/2020,Alt Empordà,població vacunada amb primera dosi (%),total,,0.0
12/2020,Alt Empordà,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Alt Empordà,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Alt Empordà,població vacunada amb segona dosi (%),total,,0.0
12/2020,Alt Empordà,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Alt Empordà,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Alt Empordà,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Alt Penedès,dosis administrades,homes,,2
12/2020,Alt Penedès,dosis administrades,dones,,7
12/2020,Alt Penedès,dosis administrades,total,,9
12/2020,Alt Penedès,persones vacunades amb primera dosi,homes,,2
12/2020,Alt Penedès,persones vacunades amb primera dosi,dones,,7
12/2020,Alt Penedès,persones vacunades amb primera dosi,total,,9
12/2020,Alt Penedès,persones vacunades amb segona dosi,homes,,0
12/2020,Alt Penedès,persones vacunades amb segona dosi,dones,,0
12/2020,Alt Penedès,persones vacunades amb segona dosi,total,,0
12/2020,Alt Penedès,persones vacunades amb dosi addicional,homes,,0
12/2020,Alt Penedès,persones vacunades amb dosi addicional,dones,,0
12/2020,Alt Penedès,persones vacunades amb dosi addicional,total,,0
12/2020,Alt Penedès,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Alt Penedès,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Alt Penedès,dosis administrades per cada 100 persones,total,,0.0
12/2020,Alt Penedès,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Alt Penedès,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Alt Penedès,població vacunada amb primera dosi (%),total,,0.0
12/2020,Alt Penedès,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Alt Penedès,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Alt Penedès,població vacunada amb segona dosi (%),total,,0.0
12/2020,Alt Penedès,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Alt Penedès,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Alt Penedès,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Alt Urgell,dosis administrades,homes,,28
12/2020,Alt Urgell,dosis administrades,dones,,79
12/2020,Alt Urgell,dosis administrades,total,,107
12/2020,Alt Urgell,persones vacunades amb primera dosi,homes,,28
12/2020,Alt Urgell,persones vacunades amb primera dosi,dones,,79
12/2020,Alt Urgell,persones vacunades amb primera dosi,total,,107
12/2020,Alt Urgell,persones vacunades amb segona dosi,homes,,0
12/2020,Alt Urgell,persones vacunades amb segona dosi,dones,,0
12/2020,Alt Urgell,persones vacunades amb segona dosi,total,,0
12/2020,Alt Urgell,persones vacunades amb dosi addicional,homes,,0
12/2020,Alt Urgell,persones vacunades amb dosi addicional,dones,,0
12/2020,Alt Urgell,persones vacunades amb dosi addicional,total,,0
12/2020,Alt Urgell,dosis administrades per cada 100 persones,homes,,0.3
12/2020,Alt Urgell,dosis administrades per cada 100 persones,dones,,0.8
12/2020,Alt Urgell,dosis administrades per cada 100 persones,total,,0.5
12/2020,Alt Urgell,població vacunada amb primera dosi (%),homes,,0.3
12/2020,Alt Urgell,població vacunada amb primera dosi (%),dones,,0.8
12/2020,Alt Urgell,població vacunada amb primera dosi (%),total,,0.5
12/2020,Alt Urgell,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Alt Urgell,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Alt Urgell,població vacunada amb segona dosi (%),total,,0.0
12/2020,Alt Urgell,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Alt Urgell,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Alt Urgell,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Alta Ribagorça,dosis administrades,homes,,16
12/2020,Alta Ribagorça,dosis administrades,dones,,33
12/2020,Alta Ribagorça,dosis administrades,total,,49
12/2020,Alta Ribagorça,persones vacunades amb primera dosi,homes,,16
12/2020,Alta Ribagorça,persones vacunades amb primera dosi,dones,,33
12/2020,Alta Ribagorça,persones vacunades amb primera dosi,total,,49
12/2020,Alta Ribagorça,persones vacunades amb segona dosi,homes,,0
12/2020,Alta Ribagorça,persones vacunades amb segona dosi,dones,,0
12/2020,Alta Ribagorça,persones vacunades amb segona dosi,total,,0
12/2020,Alta Ribagorça,persones vacunades amb dosi addicional,homes,,0
12/2020,Alta Ribagorça,persones vacunades amb dosi addicional,dones,,0
12/2020,Alta Ribagorça,persones vacunades amb dosi addicional,total,,0
12/2020,Alta Ribagorça,dosis administrades per cada 100 persones,homes,,0.8
12/2020,Alta Ribagorça,dosis administrades per cada 100 persones,dones,,1.8
12/2020,Alta Ribagorça,dosis administrades per cada 100 persones,total,,1.3
12/2020,Alta Ribagorça,població vacunada amb primera dosi (%),homes,,0.8
12/2020,Alta Ribagorça,població vacunada amb primera dosi (%),dones,,1.8
12/2020,Alta Ribagorça,població vacunada amb primera dosi (%),total,,1.3
12/2020,Alta Ribagorça,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Alta Ribagorça,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Alta Ribagorça,població vacunada amb segona dosi (%),total,,0.0
12/2020,Alta Ribagorça,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Alta Ribagorça,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Alta Ribagorça,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Anoia,dosis administrades,homes,,1
12/2020,Anoia,dosis administrades,dones,,16
12/2020,Anoia,dosis administrades,total,,17
12/2020,Anoia,persones vacunades amb primera dosi,homes,,1
12/2020,Anoia,persones vacunades amb primera dosi,dones,,16
12/2020,Anoia,persones vacunades amb primera dosi,total,,17
12/2020,Anoia,persones vacunades amb segona dosi,homes,,0
12/2020,Anoia,persones vacunades amb segona dosi,dones,,0
12/2020,Anoia,persones vacunades amb segona dosi,total,,0
12/2020,Anoia,persones vacunades amb dosi addicional,homes,,0
12/2020,Anoia,persones vacunades amb dosi addicional,dones,,0
12/2020,Anoia,persones vacunades amb dosi addicional,total,,0
12/2020,Anoia,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Anoia,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Anoia,dosis administrades per cada 100 persones,total,,0.0
12/2020,Anoia,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Anoia,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Anoia,població vacunada amb primera dosi (%),total,,0.0
12/2020,Anoia,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Anoia,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Anoia,població vacunada amb segona dosi (%),total,,0.0
12/2020,Anoia,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Anoia,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Anoia,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Aran,dosis administrades,homes,,0
12/2020,Aran,dosis administrades,dones,,1
12/2020,Aran,dosis administrades,total,,1
12/2020,Aran,persones vacunades amb primera dosi,homes,,0
12/2020,Aran,persones vacunades amb primera dosi,dones,,1
12/2020,Aran,persones vacunades amb primera dosi,total,,1
12/2020,Aran,persones vacunades amb segona dosi,homes,,0
12/2020,Aran,persones vacunades amb segona dosi,dones,,0
12/2020,Aran,persones vacunades amb segona dosi,total,,0
12/2020,Aran,persones vacunades amb dosi addicional,homes,,0
12/2020,Aran,persones vacunades amb dosi addicional,dones,,0
12/2020,Aran,persones vacunades amb dosi addicional,total,,0
12/2020,Aran,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Aran,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Aran,dosis administrades per cada 100 persones,total,,0.0
12/2020,Aran,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Aran,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Aran,població vacunada amb primera dosi (%),total,,0.0
12/2020,Aran,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Aran,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Aran,població vacunada amb segona dosi (%),total,,0.0
12/2020,Aran,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Aran,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Aran,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Bages,dosis administrades,homes,,89
12/2020,Bages,dosis administrades,dones,,366
12/2020,Bages,dosis administrades,total,,455
12/2020,Bages,persones vacunades amb primera dosi,homes,,89
12/2020,Bages,persones vacunades amb primera dosi,dones,,366
12/2020,Bages,persones vacunades amb primera dosi,total,,455
12/2020,Bages,persones vacunades amb segona dosi,homes,,0
12/2020,Bages,persones vacunades amb segona dosi,dones,,0
12/2020,Bages,persones vacunades amb segona dosi,total,,0
12/2020,Bages,persones vacunades amb dosi addicional,homes,,0
12/2020,Bages,persones vacunades amb dosi addicional,dones,,0
12/2020,Bages,persones vacunades amb dosi addicional,total,,0
12/2020,Bages,dosis administrades per cada 100 persones,homes,,0.1
12/2020,Bages,dosis administrades per cada 100 persones,dones,,0.4
12/2020,Bages,dosis administrades per cada 100 persones,total,,0.3
12/2020,Bages,població vacunada amb primera dosi (%),homes,,0.1
12/2020,Bages,població vacunada amb primera dosi (%),dones,,0.4
12/2020,Bages,població vacunada amb primera dosi (%),total,,0.3
12/2020,Bages,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Bages,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Bages,població vacunada amb segona dosi (%),total,,0.0
12/2020,Bages,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Bages,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Bages,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Baix Camp,dosis administrades,homes,,33
12/2020,Baix Camp,dosis administrades,dones,,136
12/2020,Baix Camp,dosis administrades,total,,169
12/2020,Baix Camp,persones vacunades amb primera dosi,homes,,33
12/2020,Baix Camp,persones vacunades amb primera dosi,dones,,136
12/2020,Baix Camp,persones vacunades amb primera dosi,total,,169
12/2020,Baix Camp,persones vacunades amb segona dosi,homes,,0
12/2020,Baix Camp,persones vacunades amb segona dosi,dones,,0
12/2020,Baix Camp,persones vacunades amb segona dosi,total,,0
12/2020,Baix Camp,persones vacunades amb dosi addicional,homes,,0
12/2020,Baix Camp,persones vacunades amb dosi addicional,dones,,0
12/2020,Baix Camp,persones vacunades amb dosi addicional,total,,0
12/2020,Baix Camp,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Baix Camp,dosis administrades per cada 100 persones,dones,,0.1
12/2020,Baix Camp,dosis administrades per cada 100 persones,total,,0.1
12/2020,Baix Camp,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Baix Camp,població vacunada amb primera dosi (%),dones,,0.1
12/2020,Baix Camp,població vacunada amb primera dosi (%),total,,0.1
12/2020,Baix Camp,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Baix Camp,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Baix Camp,població vacunada amb segona dosi (%),total,,0.0
12/2020,Baix Camp,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Baix Camp,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Baix Camp,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Baix Ebre,dosis administrades,homes,,0
12/2020,Baix Ebre,dosis administrades,dones,,1
12/2020,Baix Ebre,dosis administrades,total,,1
12/2020,Baix Ebre,persones vacunades amb primera dosi,homes,,0
12/2020,Baix Ebre,persones vacunades amb primera dosi,dones,,1
12/2020,Baix Ebre,persones vacunades amb primera dosi,total,,1
12/2020,Baix Ebre,persones vacunades amb segona dosi,homes,,0
12/2020,Baix Ebre,persones vacunades amb segona dosi,dones,,0
12/2020,Baix Ebre,persones vacunades amb segona dosi,total,,0
12/2020,Baix Ebre,persones vacunades amb dosi addicional,homes,,0
12/2020,Baix Ebre,persones vacunades amb dosi addicional,dones,,0
12/2020,Baix Ebre,persones vacunades amb dosi addicional,total,,0
12/2020,Baix Ebre,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Baix Ebre,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Baix Ebre,dosis administrades per cada 100 persones,total,,0.0
12/2020,Baix Ebre,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Baix Ebre,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Baix Ebre,població vacunada amb primera dosi (%),total,,0.0
12/2020,Baix Ebre,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Baix Ebre,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Baix Ebre,població vacunada amb segona dosi (%),total,,0.0
12/2020,Baix Ebre,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Baix Ebre,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Baix Ebre,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Baix Empordà,dosis administrades,homes,,0
12/2020,Baix Empordà,dosis administrades,dones,,1
12/2020,Baix Empordà,dosis administrades,total,,1
12/2020,Baix Empordà,persones vacunades amb primera dosi,homes,,0
12/2020,Baix Empordà,persones vacunades amb primera dosi,dones,,1
12/2020,Baix Empordà,persones vacunades amb primera dosi,total,,1
12/2020,Baix Empordà,persones vacunades amb segona dosi,homes,,0
12/2020,Baix Empordà,persones vacunades amb segona dosi,dones,,0
12/2020,Baix Empordà,persones vacunades amb segona dosi,total,,0
12/2020,Baix Empordà,persones vacunades amb dosi addicional,homes,,0
12/2020,Baix Empordà,persones vacunades amb dosi addicional,dones,,0
12/2020,Baix Empordà,persones vacunades amb dosi addicional,total,,0
12/2020,Baix Empordà,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Baix Empordà,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Baix Empordà,dosis administrades per cada 100 persones,total,,0.0
12/2020,Baix Empordà,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Baix Empordà,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Baix Empordà,població vacunada amb primera dosi (%),total,,0.0
12/2020,Baix Empordà,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Baix Empordà,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Baix Empordà,població vacunada amb segona dosi (%),total,,0.0
12/2020,Baix Empordà,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Baix Empordà,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Baix Empordà,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Baix Llobregat,dosis administrades,homes,,160
12/2020,Baix Llobregat,dosis administrades,dones,,570
12/2020,Baix Llobregat,dosis administrades,total,,730
12/2020,Baix Llobregat,persones vacunades amb primera dosi,homes,,160
12/2020,Baix Llobregat,persones vacunades amb primera dosi,dones,,570
12/2020,Baix Llobregat,persones vacunades amb primera dosi,total,,730
12/2020,Baix Llobregat,persones vacunades amb segona dosi,homes,,0
12/2020,Baix Llobregat,persones vacunades amb segona dosi,dones,,0
12/2020,Baix Llobregat,persones vacunades amb segona dosi,total,,0
12/2020,Baix Llobregat,persones vacunades amb dosi addicional,homes,,0
12/2020,Baix Llobregat,persones vacunades amb dosi addicional,dones,,0
12/2020,Baix Llobregat,persones vacunades amb dosi addicional,total,,0
12/2020,Baix Llobregat,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Baix Llobregat,dosis administrades per cada 100 persones,dones,,0.1
12/2020,Baix Llobregat,dosis administrades per cada 100 persones,total,,0.1
12/2020,Baix Llobregat,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Baix Llobregat,població vacunada amb primera dosi (%),dones,,0.1
12/2020,Baix Llobregat,població vacunada amb primera dosi (%),total,,0.1
12/2020,Baix Llobregat,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Baix Llobregat,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Baix Llobregat,població vacunada amb segona dosi (%),total,,0.0
12/2020,Baix Llobregat,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Baix Llobregat,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Baix Llobregat,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Baix Penedès,dosis administrades,homes,,1
12/2020,Baix Penedès,dosis administrades,dones,,5
12/2020,Baix Penedès,dosis administrades,total,,6
12/2020,Baix Penedès,persones vacunades amb primera dosi,homes,,1
12/2020,Baix Penedès,persones vacunades amb primera dosi,dones,,5
12/2020,Baix Penedès,persones vacunades amb primera dosi,total,,6
12/2020,Baix Penedès,persones vacunades amb segona dosi,homes,,0
12/2020,Baix Penedès,persones vacunades amb segona dosi,dones,,0
12/2020,Baix Penedès,persones vacunades amb segona dosi,total,,0
12/2020,Baix Penedès,persones vacunades amb dosi addicional,homes,,0
12/2020,Baix Penedès,persones vacunades amb dosi addicional,dones,,0
12/2020,Baix Penedès,persones vacunades amb dosi addicional,total,,0
12/2020,Baix Penedès,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Baix Penedès,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Baix Penedès,dosis administrades per cada 100 persones,total,,0.0
12/2020,Baix Penedès,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Baix Penedès,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Baix Penedès,població vacunada amb primera dosi (%),total,,0.0
12/2020,Baix Penedès,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Baix Penedès,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Baix Penedès,població vacunada amb segona dosi (%),total,,0.0
12/2020,Baix Penedès,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Baix Penedès,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Baix Penedès,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Barcelonès,dosis administrades,homes,,472
12/2020,Barcelonès,dosis administrades,dones,,1256
12/2020,Barcelonès,dosis administrades,total,,1728
12/2020,Barcelonès,persones vacunades amb primera dosi,homes,,472
12/2020,Barcelonès,persones vacunades amb primera dosi,dones,,1256
12/2020,Barcelonès,persones vacunades amb primera dosi,total,,1728
12/2020,Barcelonès,persones vacunades amb segona dosi,homes,,0
12/2020,Barcelonès,persones vacunades amb segona dosi,dones,,0
12/2020,Barcelonès,persones vacunades amb segona dosi,total,,0
12/2020,Barcelonès,persones vacunades amb dosi addicional,homes,,0
12/2020,Barcelonès,persones vacunades amb dosi addicional,dones,,0
12/2020,Barcelonès,persones vacunades amb dosi addicional,total,,0
12/2020,Barcelonès,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Barcelonès,dosis administrades per cada 100 persones,dones,,0.1
12/2020,Barcelonès,dosis administrades per cada 100 persones,total,,0.1
12/2020,Barcelonès,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Barcelonès,població vacunada amb primera dosi (%),dones,,0.1
12/2020,Barcelonès,població vacunada amb primera dosi (%),total,,0.1
12/2020,Barcelonès,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Barcelonès,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Barcelonès,població vacunada amb segona dosi (%),total,,0.0
12/2020,Barcelonès,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Barcelonès,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Barcelonès,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Berguedà,dosis administrades,homes,,59
12/2020,Berguedà,dosis administrades,dones,,249
12/2020,Berguedà,dosis administrades,total,,308
12/2020,Berguedà,persones vacunades amb primera dosi,homes,,59
12/2020,Berguedà,persones vacunades amb primera dosi,dones,,249
12/2020,Berguedà,persones vacunades amb primera dosi,total,,308
12/2020,Berguedà,persones vacunades amb segona dosi,homes,,0
12/2020,Berguedà,persones vacunades amb segona dosi,dones,,0
12/2020,Berguedà,persones vacunades amb segona dosi,total,,0
12/2020,Berguedà,persones vacunades amb dosi addicional,homes,,0
12/2020,Berguedà,persones vacunades amb dosi addicional,dones,,0
12/2020,Berguedà,persones vacunades amb dosi addicional,total,,0
12/2020,Berguedà,dosis administrades per cada 100 persones,homes,,0.3
12/2020,Berguedà,dosis administrades per cada 100 persones,dones,,1.2
12/2020,Berguedà,dosis administrades per cada 100 persones,total,,0.8
12/2020,Berguedà,població vacunada amb primera dosi (%),homes,,0.3
12/2020,Berguedà,població vacunada amb primera dosi (%),dones,,1.2
12/2020,Berguedà,població vacunada amb primera dosi (%),total,,0.8
12/2020,Berguedà,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Berguedà,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Berguedà,població vacunada amb segona dosi (%),total,,0.0
12/2020,Berguedà,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Berguedà,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Berguedà,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Cerdanya,dosis administrades,homes,,2
12/2020,Cerdanya,dosis administrades,dones,,2
12/2020,Cerdanya,dosis administrades,total,,4
12/2020,Cerdanya,persones vacunades amb primera dosi,homes,,2
12/2020,Cerdanya,persones vacunades amb primera dosi,dones,,2
12/2020,Cerdanya,persones vacunades amb primera dosi,total,,4
12/2020,Cerdanya,persones vacunades amb segona dosi,homes,,0
12/2020,Cerdanya,persones vacunades amb segona dosi,dones,,0
12/2020,Cerdanya,persones vacunades amb segona dosi,total,,0
12/2020,Cerdanya,persones vacunades amb dosi addicional,homes,,0
12/2020,Cerdanya,persones vacunades amb dosi addicional,dones,,0
12/2020,Cerdanya,persones vacunades amb dosi addicional,total,,0
12/2020,Cerdanya,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Cerdanya,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Cerdanya,dosis administrades per cada 100 persones,total,,0.0
12/2020,Cerdanya,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Cerdanya,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Cerdanya,població vacunada amb primera dosi (%),total,,0.0
12/2020,Cerdanya,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Cerdanya,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Cerdanya,població vacunada amb segona dosi (%),total,,0.0
12/2020,Cerdanya,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Cerdanya,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Cerdanya,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Conca de Barberà,dosis administrades,homes,,1
12/2020,Conca de Barberà,dosis administrades,dones,,2
12/2020,Conca de Barberà,dosis administrades,total,,3
12/2020,Conca de Barberà,persones vacunades amb primera dosi,homes,,1
12/2020,Conca de Barberà,persones vacunades amb primera dosi,dones,,2
12/2020,Conca de Barberà,persones vacunades amb primera dosi,total,,3
12/2020,Conca de Barberà,persones vacunades amb segona dosi,homes,,0
12/2020,Conca de Barberà,persones vacunades amb segona dosi,dones,,0
12/2020,Conca de Barberà,persones vacunades amb segona dosi,total,,0
12/2020,Conca de Barberà,persones vacunades amb dosi addicional,homes,,0
12/2020,Conca de Barberà,persones vacunades amb dosi addicional,dones,,0
12/2020,Conca de Barberà,persones vacunades amb dosi addicional,total,,0
12/2020,Conca de Barberà,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Conca de Barberà,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Conca de Barberà,dosis administrades per cada 100 persones,total,,0.0
12/2020,Conca de Barberà,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Conca de Barberà,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Conca de Barberà,població vacunada amb primera dosi (%),total,,0.0
12/2020,Conca de Barberà,població vacunada amb segona dosi (%),homes,,0.0
12/2020,Conca de Barberà,població vacunada amb segona dosi (%),dones,,0.0
12/2020,Conca de Barberà,població vacunada amb segona dosi (%),total,,0.0
12/2020,Conca de Barberà,població vacunada amb dosi addicional (%),homes,,0.0
12/2020,Conca de Barberà,població vacunada amb dosi addicional (%),dones,,0.0
12/2020,Conca de Barberà,població vacunada amb dosi addicional (%),total,,0.0
12/2020,Garraf,dosis administrades,homes,,2
12/2020,Garraf,dosis administrades,dones,,2
12/2020,Garraf,dosis administrades,total,,4
12/2020,Garraf,persones vacunades amb primera dosi,homes,,2
12/2020,Garraf,persones vacunades amb primera dosi,dones,,2
12/2020,Garraf,persones vacunades amb primera dosi,total,,4
12/2020,Garraf,persones vacunades amb segona dosi,homes,,0
12/2020,Garraf,persones vacunades amb segona dosi,dones,,0
12/2020,Garraf,persones vacunades amb segona dosi,total,,0
12/2020,Garraf,persones vacunades amb dosi addicional,homes,,0
12/2020,Garraf,persones vacunades amb dosi addicional,dones,,0
12/2020,Garraf,persones vacunades amb dosi addicional,total,,0
12/2020,Garraf,dosis administrades per cada 100 persones,homes,,0.0
12/2020,Garraf,dosis administrades per cada 100 persones,dones,,0.0
12/2020,Garraf,dosis administrades per cada 100 persones,total,,0.0
12/2020,Garraf,població vacunada amb primera dosi (%),homes,,0.0
12/2020,Garraf,població vacunada amb primera dosi (%),dones,,0.0
12/2020,Garraf,població vacunada amb primera dosi (%),total,,0.0
12/2020,Garraf,població vacunada amb segona dosi (%),homes,,0.0
