trimestre,comarques i Aran,concepte,sexe,estat,valor
T1/2020,Anoia,casos per cada 100 habitants,homes,,0.6
T1/2020,Anoia,casos per cada 100 habitants,dones,,0.7
T1/2020,Anoia,casos per cada 100 habitants,total,,0.7
T1/2020,Aran,casos confirmats,homes,,25
T1/2020,Aran,casos confirmats,dones,,37
T1/2020,Aran,casos confirmats,total,,62
T1/2020,Aran,casos per cada 100 habitants,homes,,0.5
T1/2020,Aran,casos per cada 100 habitants,dones,,0.8
T1/2020,Aran,casos per cada 100 habitants,total,,0.6
T1/2020,Bages,casos confirmats,homes,,393
T1/2020,Bages,casos confirmats,dones,,516
T1/2020,Bages,casos confirmats,total,,909
T1/2020,Bages,casos per cada 100 habitants,homes,,0.4
T1/2020,Bages,casos per cada 100 habitants,dones,,0.6
T1/2020,Bages,casos per cada 100 habitants,total,,0.5
T1/2020,Baix Camp,casos confirmats,homes,,82
T1/2020,Baix Camp,casos confirmats,dones,,61
T1/2020,Baix Camp,casos confirmats,total,,143
T1/2020,Baix Camp,casos per cada 100 habitants,homes,,0.1
T1/2020,Baix Camp,casos per cada 100 habitants,dones,,0.1
T1/2020,Baix Camp,casos per cada 100 habitants,total,,0.1
T1/2020,Baix Ebre,casos confirmats,homes,,38
T1/2020,Baix Ebre,casos confirmats,dones,,79
T1/2020,Baix Ebre,casos confirmats,total,,117
T1/2020,Baix Ebre,casos per cada 100 habitants,homes,,0.1
T1/2020,Baix Ebre,casos per cada 100 habitants,dones,,0.2
T1/2020,Baix Ebre,casos per cada 100 habitants,total,,0.2
T1/2020,Baix Empordà,casos confirmats,homes,,95
T1/2020,Baix Empordà,casos confirmats,dones,,131
T1/2020,Baix Empordà,casos confirmats,total,,226
T1/2020,Baix Empordà,casos per cada 100 habitants,homes,,0.1
T1/2020,Baix Empordà,casos per cada 100 habitants,dones,,0.2
T1/2020,Baix Empordà,casos per cada 100 habitants,total,,0.2
T1/2020,Baix Llobregat,casos confirmats,homes,,1612
T1/2020,Baix Llobregat,casos confirmats,dones,,1954
T1/2020,Baix Llobregat,casos confirmats,total,,3566
T1/2020,Baix Llobregat,casos per cada 100 habitants,homes,,0.4
T1/2020,Baix Llobregat,casos per cada 100 habitants,dones,,0.5
T1/2020,Baix Llobregat,casos per cada 100 habitants,total,,0.4
T1/2020,Baix Penedès,casos confirmats,homes,,82
T1/2020,Baix Penedès,casos confirmats,dones,,87
T1/2020,Baix Penedès,casos confirmats,total,,169
T1/2020,Baix Penedès,casos per cada 100 habitants,homes,,0.2
T1/2020,Baix Penedès,casos per cada 100 habitants,dones,,0.2
T1/2020,Baix Penedès,casos per cada 100 habitants,total,,0.2
T1/2020,Barcelonès,casos confirmats,homes,,5312
T1/2020,Barcelonès,casos confirmats,dones,,5535
T1/2020,Barcelonès,casos confirmats,total,,10847
T1/2020,Barcelonès,casos per cada 100 habitants,homes,,0.5
T1/2020,Barcelonès,casos per cada 100 habitants,dones,,0.5
T1/2020,Barcelonès,casos per cada 100 habitants,total,,0.5
T1/2020,Berguedà,casos confirmats,homes,,95
T1/2020,Berguedà,casos confirmats,dones,,106
T1/2020,Berguedà,casos confirmats,total,,201
T1/2020,Berguedà,casos per cada 100 habitants,homes,,0.5
T1/2020,Berguedà,casos per cada 100 habitants,dones,,0.5
T1/2020,Berguedà,casos per cada 100 habitants,total,,0.5
T1/2020,Cerdanya,casos confirmats,homes,,9
T1/2020,Cerdanya,casos confirmats,dones,,15
T1/2020,Cerdanya,casos confirmats,total,,24
T1/2020,Cerdanya,casos per cada 100 habitants,homes,,0.1
T1/2020,Cerdanya,casos per cada 100 habitants,dones,,0.2
T1/2020,Cerdanya,casos per cada 100 habitants,total,,0.1
T1/2020,Conca de Barberà,casos confirmats,homes,,20
T1/2020,Conca de Barberà,casos confirmats,dones,,10
T1/2020,Conca de Barberà,casos confirmats,total,,30
T1/2020,Conca de Barberà,casos per cada 100 habitants,homes,,0.2
T1/2020,Conca de Barberà,casos per cada 100 habitants,dones,,0.1
T1/2020,Conca de Barberà,casos per cada 100 habitants,total,,0.2
T1/2020,Garraf,casos confirmats,homes,,148
T1/2020,Garraf,casos confirmats,dones,,145
T1/2020,Garraf,casos confirmats,total,,293
T1/2020,Garraf,casos per cada 100 habitants,homes,,0.2
T1/2020,Garraf,casos per cada 100 habitants,dones,,0.2
T1/2020,Garraf,casos per cada 100 habitants,total,,0.2
T1/2020,Garrigues,casos confirmats,homes,,12
T1/2020,Garrigues,casos confirmats,dones,,21
T1/2020,Garrigues,casos confirmats,total,,33
T1/2020,Garrigues,casos per cada 100 habitants,homes,,0.1
T1/2020,Garrigues,casos per cada 100 habitants,dones,,0.2
T1/2020,Garrigues,casos per cada 100 habitants,total,,0.2
T1/2020,Garrotxa,casos confirmats,homes,,67
T1/2020,Garrotxa,casos confirmats,dones,,133
T1/2020,Garrotxa,casos confirmats,total,,200
T1/2020,Garrotxa,casos per cada 100 habitants,homes,,0.2
T1/2020,Garrotxa,casos per cada 100 habitants,dones,,0.5
T1/2020,Garrotxa,casos per cada 100 habitants,total,,0.3
T1/2020,Gironès,casos confirmats,homes,,284
T1/2020,Gironès,casos confirmats,dones,,387
T1/2020,Gironès,casos confirmats,total,,671
T1/2020,Gironès,casos per cada 100 habitants,homes,,0.3
T1/2020,Gironès,casos per cada 100 habitants,dones,,0.4
T1/2020,Gironès,casos per cada 100 habitants,total,,0.4
T1/2020,Maresme,casos confirmats,homes,,521
T1/2020,Maresme,casos confirmats,dones,,564
T1/2020,Maresme,casos confirmats,total,,1085
T1/2020,Maresme,casos per cada 100 habitants,homes,,0.2
T1/2020,Maresme,casos per cada 100 habitants,dones,,0.2
T1/2020,Maresme,casos per cada 100 habitants,total,,0.2
T1/2020,Moianès,casos confirmats,homes,,13
T1/2020,Moianès,casos confirmats,dones,,15
T1/2020,Moianès,casos confirmats,total,,28
T1/2020,Moianès,casos per cada 100 habitants,homes,,0.2
T1/2020,Moianès,casos per cada 100 habitants,dones,,0.2
T1/2020,Moianès,casos per cada 100 habitants,total,,0.2
T1/2020,Montsià,casos confirmats,homes,,19
T1/2020,Montsià,casos confirmats,dones,,27
T1/2020,Montsià,casos confirmats,total,,46
T1/2020,Montsià,casos per cada 100 habitants,homes,,0.1
T1/2020,Montsià,casos per cada 100 habitants,dones,,0.1
T1/2020,Montsià,casos per cada 100 habitants,total,,0.1
T1/2020,Noguera,casos confirmats,homes,,63
T1/2020,Noguera,casos confirmats,dones,,74
T1/2020,Noguera,casos confirmats,total,,137
T1/2020,Noguera,casos per cada 100 habitants,homes,,0.3
T1/2020,Noguera,casos per cada 100 habitants,dones,,0.4
T1/2020,Noguera,casos per cada 100 habitants,total,,0.4
T1/2020,Osona,casos confirmats,homes,,254
T1/2020,Osona,casos confirmats,dones,,387
T1/2020,Osona,casos confirmats,total,,641
T1/2020,Osona,casos per cada 100 habitants,homes,,0.3
T1/2020,Osona,casos per cada 100 habitants,dones,,0.5
T1/2020,Osona,casos per cada 100 habitants,total,,0.4
T1/2020,Pallars Jussà,casos confirmats,homes,,27
T1/2020,Pallars Jussà,casos confirmats,dones,,33
T1/2020,Pallars Jussà,casos confirmats,total,,60
T1/2020,Pallars Jussà,casos per cada 100 habitants,homes,,0.4
T1/2020,Pallars Jussà,casos per cada 100 habitants,dones,,0.5
T1/2020,Pallars Jussà,casos per cada 100 habitants,total,,0.5
T1/2020,Pallars Sobirà,casos confirmats,homes,,6
T1/2020,Pallars Sobirà,casos confirmats,dones,,6
T1/2020,Pallars Sobirà,casos confirmats,total,,12
T1/2020,Pallars Sobirà,casos per cada 100 habitants,homes,,0.2
T1/2020,Pallars Sobirà,casos per cada 100 habitants,dones,,0.2
T1/2020,Pallars Sobirà,casos per cada 100 habitants,total,,0.2
T1/2020,Pla d'Urgell,casos confirmats,homes,,22
T1/2020,Pla d'Urgell,casos confirmats,dones,,32
T1/2020,Pla d'Urgell,casos confirmats,total,,54
T1/2020,Pla d'Urgell,casos per cada 100 habitants,homes,,0.1
T1/2020,Pla d'Urgell,casos per cada 100 habitants,dones,,0.2
T1/2020,Pla d'Urgell,casos per cada 100 habitants,total,,0.1
T1/2020,Pla de l'Estany,casos confirmats,homes,,47
T1/2020,Pla de l'Estany,casos confirmats,dones,,43
T1/2020,Pla de l'Estany,casos confirmats,total,,90
T1/2020,Pla de l'Estany,casos per cada 100 habitants,homes,,0.3
T1/2020,Pla de l'Estany,casos per cada 100 habitants,dones,,0.3
T1/2020,Pla de l'Estany,casos per cada 100 habitants,total,,0.3
T1/2020,Priorat,casos confirmats,homes,,1
T1/2020,Priorat,casos confirmats,dones,,6
T1/2020,Priorat,casos confirmats,total,,7
T1/2020,Priorat,casos per cada 100 habitants,homes,,0.0
T1/2020,Priorat,casos per cada 100 habitants,dones,,0.1
T1/2020,Priorat,casos per cada 100 habitants,total,,0.1
T1/2020,Ribera d'Ebre,casos confirmats,homes,,8
T1/2020,Ribera d'Ebre,casos confirmats,dones,,15
T1/2020,Ribera d'Ebre,casos confirmats,total,,23
T1/2020,Ribera d'Ebre,casos per cada 100 habitants,homes,,0.1
T1/2020,Ribera d'Ebre,casos per cada 100 habitants,dones,,0.1
T1/2020,Ribera d'Ebre,casos per cada 100 habitants,total,,0.1
T1/2020,Ripollès,casos confirmats,homes,,29
T1/2020,Ripollès,casos confirmats,dones,,33
T1/2020,Ripollès,casos confirmats,total,,62
T1/2020,Ripollès,casos per cada 100 habitants,homes,,0.2
T1/2020,Ripollès,casos per cada 100 habitants,dones,,0.3
T1/2020,Ripollès,casos per cada 100 habitants,total,,0.2
T1/2020,Segarra,casos confirmats,homes,,23
T1/2020,Segarra,casos confirmats,dones,,30
T1/2020,Segarra,casos confirmats,total,,53
T1/2020,Segarra,casos per cada 100 habitants,homes,,0.2
T1/2020,Segarra,casos per cada 100 habitants,dones,,0.3
T1/2020,Segarra,casos per cada 100 habitants,total,,0.2
T1/2020,Segrià,casos confirmats,homes,,224
T1/2020,Segrià,casos confirmats,dones,,222
T1/2020,Segrià,casos confirmats,total,,446
T1/2020,Segrià,casos per cada 100 habitants,homes,,0.2
T1/2020,Segrià,casos per cada 100 habitants,dones,,0.2
T1/2020,Segrià,casos per cada 100 habitants,total,,0.2
T1/2020,Selva,casos confirmats,homes,,172
T1/2020,Selva,casos confirmats,dones,,197
T1/2020,Selva,casos confirmats,total,,369
T1/2020,Selva,casos per cada 100 habitants,homes,,0.2
T1/2020,Selva,casos per cada 100 habitants,dones,,0.2
T1/2020,Selva,casos per cada 100 habitants,total,,0.2
T1/2020,Solsonès,casos confirmats,homes,,6
T1/2020,Solsonès,casos confirmats,dones,,7
T1/2020,Solsonès,casos confirmats,total,,13
T1/2020,Solsonès,casos per cada 100 habitants,homes,,0.1
T1/2020,Solsonès,casos per cada 100 habitants,dones,,0.1
T1/2020,Solsonès,casos per cada 100 habitants,total,,0.1
T1/2020,Tarragonès,casos confirmats,homes,,146
T1/2020,Tarragonès,casos confirmats,dones,,192
T1/2020,Tarragonès,casos confirmats,total,,338
T1/2020,Tarragonès,casos per cada 100 habitants,homes,,0.1
T1/2020,Tarragonès,casos per cada 100 habitants,dones,,0.1
T1/2020,Tarragonès,casos per cada 100 habitants,total,,0.1
T1/2020,Terra Alta,casos confirmats,homes,,2
T1/2020,Terra Alta,casos confirmats,dones,,3
T1/2020,Terra Alta,casos confirmats,total,,5
T1/2020,Terra Alta,casos per cada 100 habitants,homes,,0.0
T1/2020,Terra Alta,casos per cada 100 habitants,dones,,0.1
T1/2020,Terra Alta,casos per cada 100 habitants,total,,0.0
T1/2020,Urgell,casos confirmats,homes,,55
T1/2020,Urgell,casos confirmats,dones,,34
T1/2020,Urgell,casos confirmats,total,,89
T1/2020,Urgell,casos per cada 100 habitants,homes,,0.3
T1/2020,Urgell,casos per cada 100 habitants,dones,,0.2
T1/2020,Urgell,casos per cada 100 habitants,total,,0.2
T1/2020,Vallès Occidental,casos confirmats,homes,,1790
T1/2020,Vallès Occidental,casos confirmats,dones,,1960
T1/2020,Vallès Occidental,casos confirmats,total,,3750
T1/2020,Vallès Occidental,casos per cada 100 habitants,homes,,0.4
T1/2020,Vallès Occidental,casos per cada 100 habitants,dones,,0.4
T1/2020,Vallès Occidental,casos per cada 100 habitants,total,,0.4
T1/2020,Vallès Oriental,casos confirmats,homes,,644
T1/2020,Vallès Oriental,casos confirmats,dones,,738
T1/2020,Vallès Oriental,casos confirmats,total,,1382
T1/2020,Vallès Oriental,casos per cada 100 habitants,homes,,0.3
T1/2020,Vallès Oriental,casos per cada 100 habitants,dones,,0.4
T1/2020,Vallès Oriental,casos per cada 100 habitants,total,,0.3
T1/2020,Catalunya,casos confirmats,homes,,12971
T1/2020,Catalunya,casos confirmats,dones,,14508
T1/2020,Catalunya,casos confirmats,total,,27709
T1/2020,Catalunya,casos per cada 100 habitants,homes,,0.3
T1/2020,Catalunya,casos per cada 100 habitants,dones,,0.4
T1/2020,Catalunya,casos per cada 100 habitants,total,,0.4
T2/2020,Alt Camp,casos confirmats,homes,,38
T2/2020,Alt Camp,casos confirmats,dones,,55
T2/2020,Alt Camp,casos confirmats,total,,93
T2/2020,Alt Camp,casos per cada 100 habitants,homes,,0.2
T2/2020,Alt Camp,casos per cada 100 habitants,dones,,0.2
T2/2020,Alt Camp,casos per cada 100 habitants,total,,0.2
T2/2020,Alt Empordà,casos confirmats,homes,,194
T2/2020,Alt Empordà,casos confirmats,dones,,319
T2/2020,Alt Empordà,casos confirmats,total,,513
T2/2020,Alt Empordà,casos per cada 100 habitants,homes,,0.3
T2/2020,Alt Empordà,casos per cada 100 habitants,dones,,0.5
T2/2020,Alt Empordà,casos per cada 100 habitants,total,,0.4
T2/2020,Alt Penedès,casos confirmats,homes,,228
T2/2020,Alt Penedès,casos confirmats,dones,,533
T2/2020,Alt Penedès,casos confirmats,total,,761
T2/2020,Alt Penedès,casos per cada 100 habitants,homes,,0.4
T2/2020,Alt Penedès,casos per cada 100 habitants,dones,,1.0
T2/2020,Alt Penedès,casos per cada 100 habitants,total,,0.7
T2/2020,Alt Urgell,casos confirmats,homes,,22
T2/2020,Alt Urgell,casos confirmats,dones,,23
T2/2020,Alt Urgell,casos confirmats,total,,45
T2/2020,Alt Urgell,casos per cada 100 habitants,homes,,0.2
T2/2020,Alt Urgell,casos per cada 100 habitants,dones,,0.2
T2/2020,Alt Urgell,casos per cada 100 habitants,total,,0.2
T2/2020,Alta Ribagorça,casos confirmats,homes,,12
T2/2020,Alta Ribagorça,casos confirmats,dones,,2
T2/2020,Alta Ribagorça,casos confirmats,total,,14
T2/2020,Alta Ribagorça,casos per cada 100 habitants,homes,,0.6
T2/2020,Alta Ribagorça,casos per cada 100 habitants,dones,,0.1
T2/2020,Alta Ribagorça,casos per cada 100 habitants,total,,0.4
T2/2020,Anoia,casos confirmats,homes,,339
T2/2020,Anoia,casos confirmats,dones,,701
T2/2020,Anoia,casos confirmats,total,,1040
T2/2020,Anoia,casos per cada 100 habitants,homes,,0.5
T2/2020,Anoia,casos per cada 100 habitants,dones,,1.1
T2/2020,Anoia,casos per cada 100 habitants,total,,0.8
T2/2020,Aran,casos confirmats,homes,,53
T2/2020,Aran,casos confirmats,dones,,64
T2/2020,Aran,casos confirmats,total,,117
T2/2020,Aran,casos per cada 100 habitants,homes,,1.0
T2/2020,Aran,casos per cada 100 habitants,dones,,1.3
T2/2020,Aran,casos per cada 100 habitants,total,,1.2
T2/2020,Bages,casos confirmats,homes,,545
T2/2020,Bages,casos confirmats,dones,,1216
T2/2020,Bages,casos confirmats,total,,1761
T2/2020,Bages,casos per cada 100 habitants,homes,,0.6
T2/2020,Bages,casos per cada 100 habitants,dones,,1.3
T2/2020,Bages,casos per cada 100 habitants,total,,1.0
T2/2020,Baix Camp,casos confirmats,homes,,144
T2/2020,Baix Camp,casos confirmats,dones,,232
T2/2020,Baix Camp,casos confirmats,total,,376
T2/2020,Baix Camp,casos per cada 100 habitants,homes,,0.1
T2/2020,Baix Camp,casos per cada 100 habitants,dones,,0.2
T2/2020,Baix Camp,casos per cada 100 habitants,total,,0.2
T2/2020,Baix Ebre,casos confirmats,homes,,27
T2/2020,Baix Ebre,casos confirmats,dones,,52
T2/2020,Baix Ebre,casos confirmats,total,,79
T2/2020,Baix Ebre,casos per cada 100 habitants,homes,,0.1
T2/2020,Baix Ebre,casos per cada 100 habitants,dones,,0.1
T2/2020,Baix Ebre,casos per cada 100 habitants,total,,0.1
T2/2020,Baix Empordà,casos confirmats,homes,,236
T2/2020,Baix Empordà,casos confirmats,dones,,359
T2/2020,Baix Empordà,casos confirmats,total,,595
T2/2020,Baix Empordà,casos per cada 100 habitants,homes,,0.4
T2/2020,Baix Empordà,casos per cada 100 habitants,dones,,0.5
T2/2020,Baix Empordà,casos per cada 100 habitants,total,,0.4
T2/2020,Baix Llobregat,casos confirmats,homes,,1753
T2/2020,Baix Llobregat,casos confirmats,dones,,3432
T2/2020,Baix Llobregat,casos confirmats,total,,5185
T2/2020,Baix Llobregat,casos per cada 100 habitants,homes,,0.4
T2/2020,Baix Llobregat,casos per cada 100 habitants,dones,,0.8
T2/2020,Baix Llobregat,casos per cada 100 habitants,total,,0.6
T2/2020,Baix Penedès,casos confirmats,homes,,103
T2/2020,Baix Penedès,casos confirmats,dones,,182
T2/2020,Baix Penedès,casos confirmats,total,,285
T2/2020,Baix Penedès,casos per cada 100 habitants,homes,,0.2
T2/2020,Baix Penedès,casos per cada 100 habitants,dones,,0.3
T2/2020,Baix Penedès,casos per cada 100 habitants,total,,0.3
T2/2020,Barcelonès,casos confirmats,homes,,6096
T2/2020,Barcelonès,casos confirmats,dones,,11063
T2/2020,Barcelonès,casos confirmats,total,,17159
T2/2020,Barcelonès,casos per cada 100 habitants,homes,,0.6
T2/2020,Barcelonès,casos per cada 100 habitants,dones,,0.9
T2/2020,Barcelonès,casos per cada 100 habitants,total,,0.7
T2/2020,Berguedà,casos confirmats,homes,,121
T2/2020,Berguedà,casos confirmats,dones,,276
T2/2020,Berguedà,casos confirmats,total,,397
T2/2020,Berguedà,casos per cada 100 habitants,homes,,0.6
T2/2020,Berguedà,casos per cada 100 habitants,dones,,1.4
T2/2020,Berguedà,casos per cada 100 habitants,total,,1.0
T2/2020,Cerdanya,casos confirmats,homes,,17
T2/2020,Cerdanya,casos confirmats,dones,,26
T2/2020,Cerdanya,casos confirmats,total,,43
T2/2020,Cerdanya,casos per cada 100 habitants,homes,,0.2
T2/2020,Cerdanya,casos per cada 100 habitants,dones,,0.3
T2/2020,Cerdanya,casos per cada 100 habitants,total,,0.2
T2/2020,Conca de Barberà,casos confirmats,homes,,17
T2/2020,Conca de Barberà,casos confirmats,dones,,57
T2/2020,Conca de Barberà,casos confirmats,total,,74
T2/2020,Conca de Barberà,casos per cada 100 habitants,homes,,0.2
T2/2020,Conca de Barberà,casos per cada 100 habitants,dones,,0.6
T2/2020,Conca de Barberà,casos per cada 100 habitants,total,,0.4
T2/2020,Garraf,casos confirmats,homes,,206
T2/2020,Garraf,casos confirmats,dones,,463
T2/2020,Garraf,casos confirmats,total,,669
T2/2020,Garraf,casos per cada 100 habitants,homes,,0.3
T2/2020,Garraf,casos per cada 100 habitants,dones,,0.6
T2/2020,Garraf,casos per cada 100 habitants,total,,0.4
T2/2020,Garrigues,casos confirmats,homes,,33
T2/2020,Garrigues,casos confirmats,dones,,28
T2/2020,Garrigues,casos confirmats,total,,61
T2/2020,Garrigues,casos per cada 100 habitants,homes,,0.3
T2/2020,Garrigues,casos per cada 100 habitants,dones,,0.3
T2/2020,Garrigues,casos per cada 100 habitants,total,,0.3
T2/2020,Garrotxa,casos confirmats,homes,,191
T2/2020,Garrotxa,casos confirmats,dones,,367
T2/2020,Garrotxa,casos confirmats,total,,558
T2/2020,Garrotxa,casos per cada 100 habitants,homes,,0.7
T2/2020,Garrotxa,casos per cada 100 habitants,dones,,1.3
T2/2020,Garrotxa,casos per cada 100 habitants,total,,1.0
T2/2020,Gironès,casos confirmats,homes,,506
T2/2020,Gironès,casos confirmats,dones,,1029
T2/2020,Gironès,casos confirmats,total,,1535
T2/2020,Gironès,casos per cada 100 habitants,homes,,0.5
T2/2020,Gironès,casos per cada 100 habitants,dones,,1.1
T2/2020,Gironès,casos per cada 100 habitants,total,,0.8
T2/2020,Maresme,casos confirmats,homes,,817
T2/2020,Maresme,casos confirmats,dones,,1652
T2/2020,Maresme,casos confirmats,total,,2469
T2/2020,Maresme,casos per cada 100 habitants,homes,,0.4
T2/2020,Maresme,casos per cada 100 habitants,dones,,0.7
T2/2020,Maresme,casos per cada 100 habitants,total,,0.5
T2/2020,Moianès,casos confirmats,homes,,48
T2/2020,Moianès,casos confirmats,dones,,100
T2/2020,Moianès,casos confirmats,total,,148
T2/2020,Moianès,casos per cada 100 habitants,homes,,0.7
T2/2020,Moianès,casos per cada 100 habitants,dones,,1.5
T2/2020,Moianès,casos per cada 100 habitants,total,,1.1
T2/2020,Montsià,casos confirmats,homes,,13
T2/2020,Montsià,casos confirmats,dones,,16
T2/2020,Montsià,casos confirmats,total,,29
T2/2020,Montsià,casos per cada 100 habitants,homes,,0.0
T2/2020,Montsià,casos per cada 100 habitants,dones,,0.0
T2/2020,Montsià,casos per cada 100 habitants,total,,0.0
T2/2020,Noguera,casos confirmats,homes,,60
T2/2020,Noguera,casos confirmats,dones,,99
T2/2020,Noguera,casos confirmats,total,,159
T2/2020,Noguera,casos per cada 100 habitants,homes,,0.3
T2/2020,Noguera,casos per cada 100 habitants,dones,,0.5
T2/2020,Noguera,casos per cada 100 habitants,total,,0.4
T2/2020,Osona,casos confirmats,homes,,406
T2/2020,Osona,casos confirmats,dones,,639
T2/2020,Osona,casos confirmats,total,,1045
T2/2020,Osona,casos per cada 100 habitants,homes,,0.5
T2/2020,Osona,casos per cada 100 habitants,dones,,0.8
T2/2020,Osona,casos per cada 100 habitants,total,,0.6
T2/2020,Pallars Jussà,casos confirmats,homes,,19
T2/2020,Pallars Jussà,casos confirmats,dones,,27
T2/2020,Pallars Jussà,casos confirmats,total,,46
T2/2020,Pallars Jussà,casos per cada 100 habitants,homes,,0.3
T2/2020,Pallars Jussà,casos per cada 100 habitants,dones,,0.4
T2/2020,Pallars Jussà,casos per cada 100 habitants,total,,0.4
T2/2020,Pallars Sobirà,casos confirmats,homes,,10
T2/2020,Pallars Sobirà,casos confirmats,dones,,5
T2/2020,Pallars Sobirà,casos confirmats,total,,15
T2/2020,Pallars Sobirà,casos per cada 100 habitants,homes,,0.3
T2/2020,Pallars Sobirà,casos per cada 100 habitants,dones,,0.1
T2/2020,Pallars Sobirà,casos per cada 100 habitants,total,,0.2
T2/2020,Pla d'Urgell,casos confirmats,homes,,91
T2/2020,Pla d'Urgell,casos confirmats,dones,,93
T2/2020,Pla d'Urgell,casos confirmats,total,,184
T2/2020,Pla d'Urgell,casos per cada 100 habitants,homes,,0.5
T2/2020,Pla d'Urgell,casos per cada 100 habitants,dones,,0.5
T2/2020,Pla d'Urgell,casos per cada 100 habitants,total,,0.5
T2/2020,Pla de l'Estany,casos confirmats,homes,,98
T2/2020,Pla de l'Estany,casos confirmats,dones,,153
T2/2020,Pla de l'Estany,casos confirmats,total,,251
T2/2020,Pla de l'Estany,casos per cada 100 habitants,homes,,0.6
T2/2020,Pla de l'Estany,casos per cada 100 habitants,dones,,0.9
T2/2020,Pla de l'Estany,casos per cada 100 habitants,total,,0.8
T2/2020,Priorat,casos confirmats,homes,,7
T2/2020,Priorat,casos confirmats,dones,,5
T2/2020,Priorat,casos confirmats,total,,12
T2/2020,Priorat,casos per cada 100 habitants,homes,,0.1
T2/2020,Priorat,casos per cada 100 habitants,dones,,0.1
T2/2020,Priorat,casos per cada 100 habitants,total,,0.1
T2/2020,Ribera d'Ebre,casos confirmats,homes,,17
T2/2020,Ribera d'Ebre,casos confirmats,dones,,27
T2/2020,Ribera d'Ebre,casos confirmats,total,,44
T2/2020,Ribera d'Ebre,casos per cada 100 habitants,homes,,0.2
T2/2020,Ribera d'Ebre,casos per cada 100 habitants,dones,,0.3
T2/2020,Ribera d'Ebre,casos per cada 100 habitants,total,,0.2
T2/2020,Ripollès,casos confirmats,homes,,44
T2/2020,Ripollès,casos confirmats,dones,,39
T2/2020,Ripollès,casos confirmats,total,,83
T2/2020,Ripollès,casos per cada 100 habitants,homes,,0.4
T2/2020,Ripollès,casos per cada 100 habitants,dones,,0.3
T2/2020,Ripollès,casos per cada 100 habitants,total,,0.3
T2/2020,Segarra,casos confirmats,homes,,165
T2/2020,Segarra,casos confirmats,dones,,176
T2/2020,Segarra,casos confirmats,total,,341
T2/2020,Segarra,casos per cada 100 habitants,homes,,1.4
T2/2020,Segarra,casos per cada 100 habitants,dones,,1.6
T2/2020,Segarra,casos per cada 100 habitants,total,,1.5
T2/2020,Segrià,casos confirmats,homes,,808
T2/2020,Segrià,casos confirmats,dones,,975
T2/2020,Segrià,casos confirmats,total,,1783
T2/2020,Segrià,casos per cada 100 habitants,homes,,0.8
T2/2020,Segrià,casos per cada 100 habitants,dones,,0.9
T2/2020,Segrià,casos per cada 100 habitants,total,,0.9
T2/2020,Selva,casos confirmats,homes,,265
T2/2020,Selva,casos confirmats,dones,,503
T2/2020,Selva,casos confirmats,total,,768
T2/2020,Selva,casos per cada 100 habitants,homes,,0.3
T2/2020,Selva,casos per cada 100 habitants,dones,,0.6
T2/2020,Selva,casos per cada 100 habitants,total,,0.4
T2/2020,Solsonès,casos confirmats,homes,,12
T2/2020,Solsonès,casos confirmats,dones,,12
T2/2020,Solsonès,casos confirmats,total,,24
T2/2020,Solsonès,casos per cada 100 habitants,homes,,0.2
T2/2020,Solsonès,casos per cada 100 habitants,dones,,0.2
T2/2020,Solsonès,casos per cada 100 habitants,total,,0.2
