trimestre,Catalunya,sexe,edat,concepte,estat,valor
T4/2020,Catalunya,homes,de 20 a 24 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 20 a 24 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 20 a 24 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 20 a 24 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 25 a 29 anys,dosis administrades,,27
T4/2020,Catalunya,homes,de 25 a 29 anys,persones vacunades amb primera dosi,,27
T4/2020,Catalunya,homes,de 25 a 29 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 25 a 29 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 25 a 29 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 25 a 29 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 25 a 29 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 25 a 29 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 30 a 34 anys,dosis administrades,,35
T4/2020,Catalunya,homes,de 30 a 34 anys,persones vacunades amb primera dosi,,35
T4/2020,Catalunya,homes,de 30 a 34 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 30 a 34 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 30 a 34 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 30 a 34 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 30 a 34 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 30 a 34 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 35 a 39 anys,dosis administrades,,32
T4/2020,Catalunya,homes,de 35 a 39 anys,persones vacunades amb primera dosi,,32
T4/2020,Catalunya,homes,de 35 a 39 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 35 a 39 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 35 a 39 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 35 a 39 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 35 a 39 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 35 a 39 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 40 a 44 anys,dosis administrades,,30
T4/2020,Catalunya,homes,de 40 a 44 anys,persones vacunades amb primera dosi,,30
T4/2020,Catalunya,homes,de 40 a 44 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 40 a 44 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 40 a 44 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 40 a 44 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 40 a 44 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 40 a 44 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 45 a 49 anys,dosis administrades,,33
T4/2020,Catalunya,homes,de 45 a 49 anys,persones vacunades amb primera dosi,,33
T4/2020,Catalunya,homes,de 45 a 49 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 45 a 49 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 45 a 49 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 45 a 49 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 45 a 49 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 45 a 49 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 50 a 54 anys,dosis administrades,,52
T4/2020,Catalunya,homes,de 50 a 54 anys,persones vacunades amb primera dosi,,52
T4/2020,Catalunya,homes,de 50 a 54 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 50 a 54 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 50 a 54 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 50 a 54 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 50 a 54 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 50 a 54 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 55 a 59 anys,dosis administrades,,59
T4/2020,Catalunya,homes,de 55 a 59 anys,persones vacunades amb primera dosi,,59
T4/2020,Catalunya,homes,de 55 a 59 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 55 a 59 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 55 a 59 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 55 a 59 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 55 a 59 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 55 a 59 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 60 a 64 anys,dosis administrades,,79
T4/2020,Catalunya,homes,de 60 a 64 anys,persones vacunades amb primera dosi,,79
T4/2020,Catalunya,homes,de 60 a 64 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 60 a 64 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 60 a 64 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 60 a 64 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 60 a 64 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 60 a 64 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 65 a 69 anys,dosis administrades,,88
T4/2020,Catalunya,homes,de 65 a 69 anys,persones vacunades amb primera dosi,,88
T4/2020,Catalunya,homes,de 65 a 69 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 65 a 69 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 65 a 69 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,de 65 a 69 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,de 65 a 69 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 65 a 69 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 70 a 74 anys,dosis administrades,,106
T4/2020,Catalunya,homes,de 70 a 74 anys,persones vacunades amb primera dosi,,106
T4/2020,Catalunya,homes,de 70 a 74 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 70 a 74 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 70 a 74 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,homes,de 70 a 74 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,homes,de 70 a 74 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 70 a 74 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,de 75 a 79 anys,dosis administrades,,150
T4/2020,Catalunya,homes,de 75 a 79 anys,persones vacunades amb primera dosi,,150
T4/2020,Catalunya,homes,de 75 a 79 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,de 75 a 79 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,de 75 a 79 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,homes,de 75 a 79 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,homes,de 75 a 79 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,de 75 a 79 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,80 anys o més,dosis administrades,,747
T4/2020,Catalunya,homes,80 anys o més,persones vacunades amb primera dosi,,747
T4/2020,Catalunya,homes,80 anys o més,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,80 anys o més,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,80 anys o més,dosis administrades per cada 100 persones,,0.5
T4/2020,Catalunya,homes,80 anys o més,població vacunada amb primera dosi (%),,0.5
T4/2020,Catalunya,homes,80 anys o més,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,80 anys o més,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,homes,total,dosis administrades,,1462
T4/2020,Catalunya,homes,total,persones vacunades amb primera dosi,,1462
T4/2020,Catalunya,homes,total,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,homes,total,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,homes,total,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,homes,total,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,homes,total,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,homes,total,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 0 a 11 anys,dosis administrades,..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 0 a 11 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,dones,de 0 a 11 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 12 a 14 anys,dosis administrades,..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 12 a 14 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,dones,de 12 a 14 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 15 a 19 anys,dosis administrades,,23
T4/2020,Catalunya,dones,de 15 a 19 anys,persones vacunades amb primera dosi,,23
T4/2020,Catalunya,dones,de 15 a 19 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 15 a 19 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 15 a 19 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,dones,de 15 a 19 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,dones,de 15 a 19 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 15 a 19 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 20 a 24 anys,dosis administrades,,110
T4/2020,Catalunya,dones,de 20 a 24 anys,persones vacunades amb primera dosi,,110
T4/2020,Catalunya,dones,de 20 a 24 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 20 a 24 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 20 a 24 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 20 a 24 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 20 a 24 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 20 a 24 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 25 a 29 anys,dosis administrades,,117
T4/2020,Catalunya,dones,de 25 a 29 anys,persones vacunades amb primera dosi,,117
T4/2020,Catalunya,dones,de 25 a 29 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 25 a 29 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 25 a 29 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 25 a 29 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 25 a 29 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 25 a 29 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 30 a 34 anys,dosis administrades,,134
T4/2020,Catalunya,dones,de 30 a 34 anys,persones vacunades amb primera dosi,,134
T4/2020,Catalunya,dones,de 30 a 34 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 30 a 34 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 30 a 34 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 30 a 34 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 30 a 34 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 30 a 34 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 35 a 39 anys,dosis administrades,,172
T4/2020,Catalunya,dones,de 35 a 39 anys,persones vacunades amb primera dosi,,172
T4/2020,Catalunya,dones,de 35 a 39 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 35 a 39 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 35 a 39 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 35 a 39 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 35 a 39 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 35 a 39 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 40 a 44 anys,dosis administrades,,275
T4/2020,Catalunya,dones,de 40 a 44 anys,persones vacunades amb primera dosi,,275
T4/2020,Catalunya,dones,de 40 a 44 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 40 a 44 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 40 a 44 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 40 a 44 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 40 a 44 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 40 a 44 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 45 a 49 anys,dosis administrades,,260
T4/2020,Catalunya,dones,de 45 a 49 anys,persones vacunades amb primera dosi,,260
T4/2020,Catalunya,dones,de 45 a 49 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 45 a 49 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 45 a 49 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 45 a 49 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 45 a 49 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 45 a 49 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 50 a 54 anys,dosis administrades,,282
T4/2020,Catalunya,dones,de 50 a 54 anys,persones vacunades amb primera dosi,,282
T4/2020,Catalunya,dones,de 50 a 54 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 50 a 54 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 50 a 54 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 50 a 54 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 50 a 54 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 50 a 54 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 55 a 59 anys,dosis administrades,,273
T4/2020,Catalunya,dones,de 55 a 59 anys,persones vacunades amb primera dosi,,273
T4/2020,Catalunya,dones,de 55 a 59 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 55 a 59 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 55 a 59 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 55 a 59 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 55 a 59 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 55 a 59 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 60 a 64 anys,dosis administrades,,174
T4/2020,Catalunya,dones,de 60 a 64 anys,persones vacunades amb primera dosi,,174
T4/2020,Catalunya,dones,de 60 a 64 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 60 a 64 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 60 a 64 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 60 a 64 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 60 a 64 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 60 a 64 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 65 a 69 anys,dosis administrades,,57
T4/2020,Catalunya,dones,de 65 a 69 anys,persones vacunades amb primera dosi,,57
T4/2020,Catalunya,dones,de 65 a 69 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 65 a 69 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 65 a 69 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,dones,de 65 a 69 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,dones,de 65 a 69 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 65 a 69 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 70 a 74 anys,dosis administrades,,122
T4/2020,Catalunya,dones,de 70 a 74 anys,persones vacunades amb primera dosi,,122
T4/2020,Catalunya,dones,de 70 a 74 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 70 a 74 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 70 a 74 anys,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,de 70 a 74 anys,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,de 70 a 74 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 70 a 74 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,de 75 a 79 anys,dosis administrades,,240
T4/2020,Catalunya,dones,de 75 a 79 anys,persones vacunades amb primera dosi,,240
T4/2020,Catalunya,dones,de 75 a 79 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,de 75 a 79 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,de 75 a 79 anys,dosis administrades per cada 100 persones,,0.2
T4/2020,Catalunya,dones,de 75 a 79 anys,població vacunada amb primera dosi (%),,0.2
T4/2020,Catalunya,dones,de 75 a 79 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,de 75 a 79 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,80 anys o més,dosis administrades,,2727
T4/2020,Catalunya,dones,80 anys o més,persones vacunades amb primera dosi,,2727
T4/2020,Catalunya,dones,80 anys o més,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,80 anys o més,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,80 anys o més,dosis administrades per cada 100 persones,,1.0
T4/2020,Catalunya,dones,80 anys o més,població vacunada amb primera dosi (%),,1.0
T4/2020,Catalunya,dones,80 anys o més,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,80 anys o més,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,dones,total,dosis administrades,,4966
T4/2020,Catalunya,dones,total,persones vacunades amb primera dosi,,4966
T4/2020,Catalunya,dones,total,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,dones,total,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,dones,total,dosis administrades per cada 100 persones,,0.1
T4/2020,Catalunya,dones,total,població vacunada amb primera dosi (%),,0.1
T4/2020,Catalunya,dones,total,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,dones,total,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 0 a 11 anys,dosis administrades,..,null
T4/2020,Catalunya,total,de 0 a 11 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,total,de 0 a 11 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,total,de 0 a 11 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 0 a 11 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,total,de 0 a 11 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,total,de 0 a 11 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,total,de 0 a 11 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 12 a 14 anys,dosis administrades,..,null
T4/2020,Catalunya,total,de 12 a 14 anys,persones vacunades amb primera dosi,..,null
T4/2020,Catalunya,total,de 12 a 14 anys,persones vacunades amb segona dosi,..,null
T4/2020,Catalunya,total,de 12 a 14 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 12 a 14 anys,dosis administrades per cada 100 persones,..,null
T4/2020,Catalunya,total,de 12 a 14 anys,població vacunada amb primera dosi (%),..,null
T4/2020,Catalunya,total,de 12 a 14 anys,població vacunada amb segona dosi (%),..,null
T4/2020,Catalunya,total,de 12 a 14 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 15 a 19 anys,dosis administrades,,26
T4/2020,Catalunya,total,de 15 a 19 anys,persones vacunades amb primera dosi,,26
T4/2020,Catalunya,total,de 15 a 19 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,total,de 15 a 19 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 15 a 19 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,total,de 15 a 19 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,total,de 15 a 19 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,total,de 15 a 19 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 20 a 24 anys,dosis administrades,,131
T4/2020,Catalunya,total,de 20 a 24 anys,persones vacunades amb primera dosi,,131
T4/2020,Catalunya,total,de 20 a 24 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,total,de 20 a 24 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 20 a 24 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,total,de 20 a 24 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,total,de 20 a 24 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,total,de 20 a 24 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 25 a 29 anys,dosis administrades,,144
T4/2020,Catalunya,total,de 25 a 29 anys,persones vacunades amb primera dosi,,144
T4/2020,Catalunya,total,de 25 a 29 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,total,de 25 a 29 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 25 a 29 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,total,de 25 a 29 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,total,de 25 a 29 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,total,de 25 a 29 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 30 a 34 anys,dosis administrades,,169
T4/2020,Catalunya,total,de 30 a 34 anys,persones vacunades amb primera dosi,,169
T4/2020,Catalunya,total,de 30 a 34 anys,persones vacunades amb segona dosi,,0
T4/2020,Catalunya,total,de 30 a 34 anys,persones vacunades amb dosi addicional,,0
T4/2020,Catalunya,total,de 30 a 34 anys,dosis administrades per cada 100 persones,,0.0
T4/2020,Catalunya,total,de 30 a 34 anys,població vacunada amb primera dosi (%),,0.0
T4/2020,Catalunya,total,de 30 a 34 anys,població vacunada amb segona dosi (%),,0.0
T4/2020,Catalunya,total,de 30 a 34 anys,població vacunada amb dosi addicional (%),,0.0
T4/2020,Catalunya,total,de 35 a 39 anys,dosis administrades,,204
T4/2020,Catalunya,total,de 35 a 39 anys,persones vacunades amb primera dosi,,204
T4/2020,Catalunya,total,de 35 a 39 anys,persones vacunades amb segona dosi,,0
