trimestre,municipis,concepte,sexe,estat,valor
T1/2020,Alfara de Carles,casos per cada 100 habitants,total,,0.0
T1/2020,Alfarràs,casos confirmats,homes,..,null
T1/2020,Alfarràs,casos confirmats,dones,..,null
T1/2020,Alfarràs,casos confirmats,total,,5
T1/2020,Alfarràs,casos per cada 100 habitants,homes,..,null
T1/2020,Alfarràs,casos per cada 100 habitants,dones,..,null
T1/2020,Alfarràs,casos per cada 100 habitants,total,,0.2
T1/2020,Alfés,casos confirmats,homes,,0
T1/2020,Alfés,casos confirmats,dones,,0
T1/2020,Alfés,casos confirmats,total,,0
T1/2020,Alfés,casos per cada 100 habitants,homes,,0.0
T1/2020,Alfés,casos per cada 100 habitants,dones,,0.0
T1/2020,Alfés,casos per cada 100 habitants,total,,0.0
T1/2020,Alforja,casos confirmats,homes,..,null
T1/2020,Alforja,casos confirmats,dones,..,null
T1/2020,Alforja,casos confirmats,total,..,null
T1/2020,Alforja,casos per cada 100 habitants,homes,..,null
T1/2020,Alforja,casos per cada 100 habitants,dones,..,null
T1/2020,Alforja,casos per cada 100 habitants,total,..,null
T1/2020,Algerri,casos confirmats,homes,,0
T1/2020,Algerri,casos confirmats,dones,,0
T1/2020,Algerri,casos confirmats,total,,0
T1/2020,Algerri,casos per cada 100 habitants,homes,,0.0
T1/2020,Algerri,casos per cada 100 habitants,dones,,0.0
T1/2020,Algerri,casos per cada 100 habitants,total,,0.0
T1/2020,Alguaire,casos confirmats,homes,..,null
T1/2020,Alguaire,casos confirmats,dones,..,null
T1/2020,Alguaire,casos confirmats,total,,7
T1/2020,Alguaire,casos per cada 100 habitants,homes,..,null
T1/2020,Alguaire,casos per cada 100 habitants,dones,..,null
T1/2020,Alguaire,casos per cada 100 habitants,total,,0.2
T1/2020,Alins,casos confirmats,homes,,0
T1/2020,Alins,casos confirmats,dones,,0
T1/2020,Alins,casos confirmats,total,,0
T1/2020,Alins,casos per cada 100 habitants,homes,,0.0
T1/2020,Alins,casos per cada 100 habitants,dones,,0.0
T1/2020,Alins,casos per cada 100 habitants,total,,0.0
T1/2020,Alió,casos confirmats,homes,,0
T1/2020,Alió,casos confirmats,dones,,0
T1/2020,Alió,casos confirmats,total,,0
T1/2020,Alió,casos per cada 100 habitants,homes,,0.0
T1/2020,Alió,casos per cada 100 habitants,dones,,0.0
T1/2020,Alió,casos per cada 100 habitants,total,,0.0
T1/2020,Almacelles,casos confirmats,homes,..,null
T1/2020,Almacelles,casos confirmats,dones,..,null
T1/2020,Almacelles,casos confirmats,total,,6
T1/2020,Almacelles,casos per cada 100 habitants,homes,..,null
T1/2020,Almacelles,casos per cada 100 habitants,dones,..,null
T1/2020,Almacelles,casos per cada 100 habitants,total,,0.1
T1/2020,Almatret,casos confirmats,homes,,0
T1/2020,Almatret,casos confirmats,dones,,0
T1/2020,Almatret,casos confirmats,total,,0
T1/2020,Almatret,casos per cada 100 habitants,homes,,0.0
T1/2020,Almatret,casos per cada 100 habitants,dones,,0.0
T1/2020,Almatret,casos per cada 100 habitants,total,,0.0
T1/2020,Almenar,casos confirmats,homes,,5
T1/2020,Almenar,casos confirmats,dones,,4
T1/2020,Almenar,casos confirmats,total,,9
T1/2020,Almenar,casos per cada 100 habitants,homes,,0.3
T1/2020,Almenar,casos per cada 100 habitants,dones,,0.3
T1/2020,Almenar,casos per cada 100 habitants,total,,0.3
T1/2020,Almoster,casos confirmats,homes,,4
T1/2020,Almoster,casos confirmats,dones,,0
T1/2020,Almoster,casos confirmats,total,,4
T1/2020,Almoster,casos per cada 100 habitants,homes,,0.6
T1/2020,Almoster,casos per cada 100 habitants,dones,,0.0
T1/2020,Almoster,casos per cada 100 habitants,total,,0.3
T1/2020,Alp,casos confirmats,homes,..,null
T1/2020,Alp,casos confirmats,dones,..,null
T1/2020,Alp,casos confirmats,total,..,null
T1/2020,Alp,casos per cada 100 habitants,homes,..,null
T1/2020,Alp,casos per cada 100 habitants,dones,..,null
T1/2020,Alp,casos per cada 100 habitants,total,..,null
T1/2020,Alpens,casos confirmats,homes,,0
T1/2020,Alpens,casos confirmats,dones,,0
T1/2020,Alpens,casos confirmats,total,,0
T1/2020,Alpens,casos per cada 100 habitants,homes,,0.0
T1/2020,Alpens,casos per cada 100 habitants,dones,,0.0
T1/2020,Alpens,casos per cada 100 habitants,total,,0.0
T1/2020,Alpicat,casos confirmats,homes,,4
T1/2020,Alpicat,casos confirmats,dones,,8
T1/2020,Alpicat,casos confirmats,total,,12
T1/2020,Alpicat,casos per cada 100 habitants,homes,,0.1
T1/2020,Alpicat,casos per cada 100 habitants,dones,,0.3
T1/2020,Alpicat,casos per cada 100 habitants,total,,0.2
T1/2020,Alt Àneu,casos confirmats,homes,..,null
T1/2020,Alt Àneu,casos confirmats,dones,..,null
T1/2020,Alt Àneu,casos confirmats,total,..,null
T1/2020,Alt Àneu,casos per cada 100 habitants,homes,..,null
T1/2020,Alt Àneu,casos per cada 100 habitants,dones,..,null
T1/2020,Alt Àneu,casos per cada 100 habitants,total,..,null
T1/2020,Altafulla,casos confirmats,homes,..,null
T1/2020,Altafulla,casos confirmats,dones,..,null
T1/2020,Altafulla,casos confirmats,total,,4
T1/2020,Altafulla,casos per cada 100 habitants,homes,..,null
T1/2020,Altafulla,casos per cada 100 habitants,dones,..,null
T1/2020,Altafulla,casos per cada 100 habitants,total,,0.1
T1/2020,Amer,casos confirmats,homes,..,null
T1/2020,Amer,casos confirmats,dones,..,null
T1/2020,Amer,casos confirmats,total,..,null
T1/2020,Amer,casos per cada 100 habitants,homes,..,null
T1/2020,Amer,casos per cada 100 habitants,dones,..,null
T1/2020,Amer,casos per cada 100 habitants,total,..,null
T1/2020,"Ametlla de Mar, l'",casos confirmats,homes,..,null
T1/2020,"Ametlla de Mar, l'",casos confirmats,dones,..,null
T1/2020,"Ametlla de Mar, l'",casos confirmats,total,..,null
T1/2020,"Ametlla de Mar, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Ametlla de Mar, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Ametlla de Mar, l'",casos per cada 100 habitants,total,..,null
T1/2020,"Ametlla del Vallès, l'",casos confirmats,homes,,10
T1/2020,"Ametlla del Vallès, l'",casos confirmats,dones,,9
T1/2020,"Ametlla del Vallès, l'",casos confirmats,total,,19
T1/2020,"Ametlla del Vallès, l'",casos per cada 100 habitants,homes,,0.2
T1/2020,"Ametlla del Vallès, l'",casos per cada 100 habitants,dones,,0.2
T1/2020,"Ametlla del Vallès, l'",casos per cada 100 habitants,total,,0.2
T1/2020,"Ampolla, l'",casos confirmats,homes,..,null
T1/2020,"Ampolla, l'",casos confirmats,dones,..,null
T1/2020,"Ampolla, l'",casos confirmats,total,,5
T1/2020,"Ampolla, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Ampolla, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Ampolla, l'",casos per cada 100 habitants,total,,0.2
T1/2020,Amposta,casos confirmats,homes,,10
T1/2020,Amposta,casos confirmats,dones,,11
T1/2020,Amposta,casos confirmats,total,,21
T1/2020,Amposta,casos per cada 100 habitants,homes,,0.1
T1/2020,Amposta,casos per cada 100 habitants,dones,,0.1
T1/2020,Amposta,casos per cada 100 habitants,total,,0.1
T1/2020,Anglès,casos confirmats,homes,..,null
T1/2020,Anglès,casos confirmats,dones,..,null
T1/2020,Anglès,casos confirmats,total,,7
T1/2020,Anglès,casos per cada 100 habitants,homes,..,null
T1/2020,Anglès,casos per cada 100 habitants,dones,..,null
T1/2020,Anglès,casos per cada 100 habitants,total,,0.1
T1/2020,Anglesola,casos confirmats,homes,..,null
T1/2020,Anglesola,casos confirmats,dones,..,null
T1/2020,Anglesola,casos confirmats,total,..,null
T1/2020,Anglesola,casos per cada 100 habitants,homes,..,null
T1/2020,Anglesola,casos per cada 100 habitants,dones,..,null
T1/2020,Anglesola,casos per cada 100 habitants,total,..,null
T1/2020,Arbeca,casos confirmats,homes,..,null
T1/2020,Arbeca,casos confirmats,dones,..,null
T1/2020,Arbeca,casos confirmats,total,..,null
T1/2020,Arbeca,casos per cada 100 habitants,homes,..,null
T1/2020,Arbeca,casos per cada 100 habitants,dones,..,null
T1/2020,Arbeca,casos per cada 100 habitants,total,..,null
T1/2020,"Arboç, l'",casos confirmats,homes,..,null
T1/2020,"Arboç, l'",casos confirmats,dones,..,null
T1/2020,"Arboç, l'",casos confirmats,total,,10
T1/2020,"Arboç, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Arboç, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Arboç, l'",casos per cada 100 habitants,total,,0.2
T1/2020,Arbúcies,casos confirmats,homes,..,null
T1/2020,Arbúcies,casos confirmats,dones,..,null
T1/2020,Arbúcies,casos confirmats,total,,8
T1/2020,Arbúcies,casos per cada 100 habitants,homes,..,null
T1/2020,Arbúcies,casos per cada 100 habitants,dones,..,null
T1/2020,Arbúcies,casos per cada 100 habitants,total,,0.1
T1/2020,Arenys de Mar,casos confirmats,homes,,13
T1/2020,Arenys de Mar,casos confirmats,dones,,22
T1/2020,Arenys de Mar,casos confirmats,total,,35
T1/2020,Arenys de Mar,casos per cada 100 habitants,homes,,0.2
T1/2020,Arenys de Mar,casos per cada 100 habitants,dones,,0.3
T1/2020,Arenys de Mar,casos per cada 100 habitants,total,,0.2
T1/2020,Arenys de Munt,casos confirmats,homes,,13
T1/2020,Arenys de Munt,casos confirmats,dones,,13
T1/2020,Arenys de Munt,casos confirmats,total,,26
T1/2020,Arenys de Munt,casos per cada 100 habitants,homes,,0.3
T1/2020,Arenys de Munt,casos per cada 100 habitants,dones,,0.3
T1/2020,Arenys de Munt,casos per cada 100 habitants,total,,0.3
T1/2020,Argelaguer,casos confirmats,homes,,0
T1/2020,Argelaguer,casos confirmats,dones,,0
T1/2020,Argelaguer,casos confirmats,total,,0
T1/2020,Argelaguer,casos per cada 100 habitants,homes,,0.0
T1/2020,Argelaguer,casos per cada 100 habitants,dones,,0.0
T1/2020,Argelaguer,casos per cada 100 habitants,total,,0.0
T1/2020,Argençola,casos confirmats,homes,,0
T1/2020,Argençola,casos confirmats,dones,,0
T1/2020,Argençola,casos confirmats,total,,0
T1/2020,Argençola,casos per cada 100 habitants,homes,,0.0
T1/2020,Argençola,casos per cada 100 habitants,dones,,0.0
T1/2020,Argençola,casos per cada 100 habitants,total,,0.0
T1/2020,Argentona,casos confirmats,homes,,17
T1/2020,Argentona,casos confirmats,dones,,21
T1/2020,Argentona,casos confirmats,total,,38
T1/2020,Argentona,casos per cada 100 habitants,homes,,0.3
T1/2020,Argentona,casos per cada 100 habitants,dones,,0.3
T1/2020,Argentona,casos per cada 100 habitants,total,,0.3
T1/2020,"Armentera, l'",casos confirmats,homes,..,null
T1/2020,"Armentera, l'",casos confirmats,dones,..,null
T1/2020,"Armentera, l'",casos confirmats,total,..,null
T1/2020,"Armentera, l'",casos per cada 100 habitants,homes,..,null
T1/2020,"Armentera, l'",casos per cada 100 habitants,dones,..,null
T1/2020,"Armentera, l'",casos per cada 100 habitants,total,..,null
T1/2020,Arnes,casos confirmats,homes,,0
T1/2020,Arnes,casos confirmats,dones,,0
T1/2020,Arnes,casos confirmats,total,,0
T1/2020,Arnes,casos per cada 100 habitants,homes,,0.0
T1/2020,Arnes,casos per cada 100 habitants,dones,,0.0
T1/2020,Arnes,casos per cada 100 habitants,total,,0.0
T1/2020,Artés,casos confirmats,homes,,9
T1/2020,Artés,casos confirmats,dones,,17
T1/2020,Artés,casos confirmats,total,,26
T1/2020,Artés,casos per cada 100 habitants,homes,,0.3
T1/2020,Artés,casos per cada 100 habitants,dones,,0.6
T1/2020,Artés,casos per cada 100 habitants,total,,0.5
T1/2020,Artesa de Lleida,casos confirmats,homes,..,null
T1/2020,Artesa de Lleida,casos confirmats,dones,..,null
T1/2020,Artesa de Lleida,casos confirmats,total,,7
T1/2020,Artesa de Lleida,casos per cada 100 habitants,homes,..,null
T1/2020,Artesa de Lleida,casos per cada 100 habitants,dones,..,null
T1/2020,Artesa de Lleida,casos per cada 100 habitants,total,,0.5
T1/2020,Artesa de Segre,casos confirmats,homes,..,null
T1/2020,Artesa de Segre,casos confirmats,dones,..,null
T1/2020,Artesa de Segre,casos confirmats,total,..,null
T1/2020,Artesa de Segre,casos per cada 100 habitants,homes,..,null
T1/2020,Artesa de Segre,casos per cada 100 habitants,dones,..,null
T1/2020,Artesa de Segre,casos per cada 100 habitants,total,..,null
T1/2020,Ascó,casos confirmats,homes,..,null
T1/2020,Ascó,casos confirmats,dones,..,null
T1/2020,Ascó,casos confirmats,total,..,null
T1/2020,Ascó,casos per cada 100 habitants,homes,..,null
T1/2020,Ascó,casos per cada 100 habitants,dones,..,null
T1/2020,Ascó,casos per cada 100 habitants,total,..,null
T1/2020,Aspa,casos confirmats,homes,,0
T1/2020,Aspa,casos confirmats,dones,,0
T1/2020,Aspa,casos confirmats,total,,0
T1/2020,Aspa,casos per cada 100 habitants,homes,,0.0
T1/2020,Aspa,casos per cada 100 habitants,dones,,0.0
T1/2020,Aspa,casos per cada 100 habitants,total,,0.0
T1/2020,"Avellanes i Santa Linya, les",casos confirmats,homes,..,null
T1/2020,"Avellanes i Santa Linya, les",casos confirmats,dones,..,null
T1/2020,"Avellanes i Santa Linya, les",casos confirmats,total,..,null
T1/2020,"Avellanes i Santa Linya, les",casos per cada 100 habitants,homes,..,null
T1/2020,"Avellanes i Santa Linya, les",casos per cada 100 habitants,dones,..,null
T1/2020,"Avellanes i Santa Linya, les",casos per cada 100 habitants,total,..,null
T1/2020,Avià,casos confirmats,homes,,12
T1/2020,Avià,casos confirmats,dones,,6
T1/2020,Avià,casos confirmats,total,,18
T1/2020,Avià,casos per cada 100 habitants,homes,,1.1
T1/2020,Avià,casos per cada 100 habitants,dones,,0.5
T1/2020,Avià,casos per cada 100 habitants,total,,0.8
T1/2020,Avinyó,casos confirmats,homes,..,null
T1/2020,Avinyó,casos confirmats,dones,..,null
T1/2020,Avinyó,casos confirmats,total,,4
T1/2020,Avinyó,casos per cada 100 habitants,homes,..,null
T1/2020,Avinyó,casos per cada 100 habitants,dones,..,null
T1/2020,Avinyó,casos per cada 100 habitants,total,,0.2
T1/2020,Avinyonet de Puigventós,casos confirmats,homes,..,null
T1/2020,Avinyonet de Puigventós,casos confirmats,dones,..,null
T1/2020,Avinyonet de Puigventós,casos confirmats,total,,4
T1/2020,Avinyonet de Puigventós,casos per cada 100 habitants,homes,..,null
T1/2020,Avinyonet de Puigventós,casos per cada 100 habitants,dones,..,null
T1/2020,Avinyonet de Puigventós,casos per cada 100 habitants,total,,0.2
T1/2020,Avinyonet del Penedès,casos confirmats,homes,..,null
T1/2020,Avinyonet del Penedès,casos confirmats,dones,..,null
T1/2020,Avinyonet del Penedès,casos confirmats,total,,6
T1/2020,Avinyonet del Penedès,casos per cada 100 habitants,homes,..,null
T1/2020,Avinyonet del Penedès,casos per cada 100 habitants,dones,..,null
T1/2020,Avinyonet del Penedès,casos per cada 100 habitants,total,,0.4
T1/2020,Badalona,casos confirmats,homes,,520
T1/2020,Badalona,casos confirmats,dones,,579
T1/2020,Badalona,casos confirmats,total,,1099
T1/2020,Badalona,casos per cada 100 habitants,homes,,0.5
T1/2020,Badalona,casos per cada 100 habitants,dones,,0.5
T1/2020,Badalona,casos per cada 100 habitants,total,,0.5
T1/2020,Badia del Vallès,casos confirmats,homes,,15
T1/2020,Badia del Vallès,casos confirmats,dones,,33
T1/2020,Badia del Vallès,casos confirmats,total,,48
T1/2020,Badia del Vallès,casos per cada 100 habitants,homes,,0.2
T1/2020,Badia del Vallès,casos per cada 100 habitants,dones,,0.5
T1/2020,Badia del Vallès,casos per cada 100 habitants,total,,0.4
T1/2020,Bagà,casos confirmats,homes,,16
T1/2020,Bagà,casos confirmats,dones,,12
T1/2020,Bagà,casos confirmats,total,,28
T1/2020,Bagà,casos per cada 100 habitants,homes,,1.5
T1/2020,Bagà,casos per cada 100 habitants,dones,,1.1
T1/2020,Bagà,casos per cada 100 habitants,total,,1.3
T1/2020,Baix Pallars,casos confirmats,homes,,0
T1/2020,Baix Pallars,casos confirmats,dones,,0
T1/2020,Baix Pallars,casos confirmats,total,,0
T1/2020,Baix Pallars,casos per cada 100 habitants,homes,,0.0
T1/2020,Baix Pallars,casos per cada 100 habitants,dones,,0.0
T1/2020,Baix Pallars,casos per cada 100 habitants,total,,0.0
T1/2020,Balaguer,casos confirmats,homes,,33
T1/2020,Balaguer,casos confirmats,dones,,43
T1/2020,Balaguer,casos confirmats,total,,76
T1/2020,Balaguer,casos per cada 100 habitants,homes,,0.4
T1/2020,Balaguer,casos per cada 100 habitants,dones,,0.5
T1/2020,Balaguer,casos per cada 100 habitants,total,,0.4
T1/2020,Balenyà,casos confirmats,homes,,6
T1/2020,Balenyà,casos confirmats,dones,,30
T1/2020,Balenyà,casos confirmats,total,,36
T1/2020,Balenyà,casos per cada 100 habitants,homes,,0.3
T1/2020,Balenyà,casos per cada 100 habitants,dones,,1.6
T1/2020,Balenyà,casos per cada 100 habitants,total,,0.9
T1/2020,Balsareny,casos confirmats,homes,,4
T1/2020,Balsareny,casos confirmats,dones,,6
T1/2020,Balsareny,casos confirmats,total,,10
T1/2020,Balsareny,casos per cada 100 habitants,homes,,0.3
T1/2020,Balsareny,casos per cada 100 habitants,dones,,0.4
T1/2020,Balsareny,casos per cada 100 habitants,total,,0.3
T1/2020,Banyeres del Penedès,casos confirmats,homes,..,null
T1/2020,Banyeres del Penedès,casos confirmats,dones,..,null
T1/2020,Banyeres del Penedès,casos confirmats,total,,6
T1/2020,Banyeres del Penedès,casos per cada 100 habitants,homes,..,null
T1/2020,Banyeres del Penedès,casos per cada 100 habitants,dones,..,null
T1/2020,Banyeres del Penedès,casos per cada 100 habitants,total,,0.2
T1/2020,Banyoles,casos confirmats,homes,,30
T1/2020,Banyoles,casos confirmats,dones,,29
T1/2020,Banyoles,casos confirmats,total,,59
T1/2020,Banyoles,casos per cada 100 habitants,homes,,0.3
